family,length,skip,z_window,smoothing,sharpe_train_14_20,sharpe_val_21_23,sharpe_holdout_24_26
classic,5,0,40,0,-0.09766179030226108,-0.15290055515698014,0.5262893499343974
classic,5,0,40,5,0.7651273142645658,0.30838006764041614,-0.36743451507708674
classic,5,0,120,0,0.13797612915707036,0.12655325369635506,0.20252926618470524
classic,5,0,120,5,0.5969977070354681,0.3569220293934824,-0.18714761633725124
classic,5,0,250,0,0.10713931404377625,0.47847351935615534,0.09781519569429828
classic,5,0,250,5,0.40896934693076137,0.15464329381603192,0.37269024263482825
classic,10,0,40,0,0.8132501223261049,0.6214396920385237,-0.39153706893021595
classic,10,0,40,5,0.6145858431121405,1.4772725475354112,0.6049218879157156
classic,10,0,120,0,0.907908077959932,1.1612943227200978,0.14240737436649928
classic,10,0,120,5,0.9981348023944834,1.1144472714506912,0.03444672077943427
classic,10,0,250,0,0.7317207783600072,1.5619857179085392,0.2654989133156349
classic,10,0,250,5,0.7850855470959818,0.5820064941108499,0.07635165359828401
classic,60,0,40,0,1.037871405191549,1.9959650296681335,0.5570073798749883
classic,60,0,40,5,0.7762287958564651,1.359676089393245,0.1564304270476073
classic,60,0,120,0,0.40137947526063955,0.6266799781210582,-0.008345371789821749
classic,60,0,120,5,0.3666686902545143,0.3303286146590881,-0.43740822423802367
classic,60,0,250,0,0.639581186959226,0.35859326762820365,0.033828237412943184
classic,60,0,250,5,0.6291636037345302,0.36540691571559386,-0.5400615363463254
classic,60,20,40,0,-0.6050594106213121,-0.23952946022102056,-1.8973879855532276
classic,60,20,40,5,-0.4994226521120715,-0.09640284927321062,-1.4465235551997275
classic,60,20,120,0,-0.388602955540484,-0.8913031989290794,-1.6209682954142326
classic,60,20,120,5,-0.5815653926229598,-0.7825500593201303,-1.002968874098805
classic,60,20,250,0,-0.1531288222718981,-0.2769346608434757,-0.7437308479797895
classic,60,20,250,5,-0.3407710150122981,-0.5187551201678128,-0.6555422508089347
classic,120,0,40,0,0.4772162014863219,1.1868316472743214,0.35900852699130326
classic,120,0,40,5,0.7550730532280262,0.7922505306619937,0.03550499140939013
classic,120,0,120,0,0.3149962258375922,0.9128085471576521,0.3898284729137792
classic,120,0,120,5,0.21306509146435743,0.7243815131102024,-0.01582893115926665
classic,120,0,250,0,0.6920822735538611,0.807989609037783,0.8407145244953841
classic,120,0,250,5,0.6276940286296476,0.27018356671651916,0.9871546288742796
classic,120,20,40,0,-0.27688560080056357,-0.5329256426447492,-0.8345604863782865
classic,120,20,40,5,0.0040416478034089615,-0.8077487380072885,-0.7516596867335932
classic,120,20,120,0,-0.34883860148360085,-1.001855124378856,0.299913356951187
classic,120,20,120,5,-0.30614592135210134,-0.9418503183712365,0.34839384118110917
classic,120,20,250,0,-0.28115956318837715,-0.672523904702344,0.42994484885985645
classic,120,20,250,5,-0.09513310792078263,-0.8888805419250684,1.0376659205200627
classic,250,0,40,0,0.7353046153162598,-0.21336533754035195,0.6847100833455161
classic,250,0,40,5,0.9821957051946463,0.2639867598329101,0.4991712437386734
classic,250,0,120,0,0.17989831548173688,-0.30310476790751173,0.5240436959070655
classic,250,0,120,5,0.5879162164748395,-0.09004139443769275,0.576600238467465
classic,250,0,250,0,0.329774159686326,-0.3674886612364598,1.211366727103793
classic,250,0,250,5,0.20646318383641668,0.00810849483763318,1.123082016896724
classic,250,20,40,0,-0.8177679079890926,-0.003553190200518527,0.2491886608083517
classic,250,20,40,5,-0.6899566669464724,0.1621436207950097,0.19050141503763063
classic,250,20,120,0,-0.5334119880465249,-0.13354913420327352,0.24769681586592862
classic,250,20,120,5,-0.3751900237417075,-0.4420830040218641,0.38255750546359313
classic,250,20,250,0,-0.27302082704471564,-0.016740015031485485,0.6871822885500448
classic,250,20,250,5,-0.2514481156662705,-0.35242615984125636,0.6813239534736498
slope,5,0,40,0,-0.46829591548710303,0.5797852290569263,-0.3420192423621331
slope,5,0,40,5,0.5560647207332158,-0.46980673930294736,-0.5990244767976968
slope,5,0,120,0,-0.2574547353316773,0.866250960037308,0.5111995429668805
slope,5,0,120,5,0.7068327249880905,0.20900547971846112,-0.018243365210148847
slope,5,0,250,0,-0.10894893715905826,0.7277281206766004,0.7572417959268266
slope,5,0,250,5,0.5164573526454352,0.07556094382779549,0.2383436334599395
slope,10,0,40,0,0.6003614958854913,0.6581531522118091,0.0013216095989261657
slope,10,0,40,5,0.708630480702344,1.0005862529384448,0.14145860171344976
slope,10,0,120,0,0.9725029389092223,0.2619358112389735,0.27867822827327143
slope,10,0,120,5,0.7837161613318564,0.6566515469629766,0.4212979661035942
slope,10,0,250,0,0.7880281644721854,0.5473209815129049,0.46822422588998397
slope,10,0,250,5,0.793851089700732,0.65611948076329,-0.09322087653074068
slope,20,0,40,0,1.243054156965195,1.126677167332617,1.0849391265352943
slope,20,0,40,5,1.4591875521363837,1.3829417054283268,1.6859428426089267
slope,20,0,120,0,1.3979216792918916,1.8720188545831093,1.0689883635019077
slope,20,0,120,5,1.4161914888113365,1.3574936024337507,0.4936639657752929
slope,20,0,250,0,1.081500580076204,1.2990474808239916,1.1360502928716945
slope,20,0,250,5,1.2668642034913504,1.1933101967365296,0.8242663217084889
slope,60,0,40,0,0.49776826095683385,0.41069384120462515,1.1014710411614241
slope,60,0,40,5,0.37752018729368425,0.6224218476499492,0.7648327564760938
slope,60,0,120,0,0.22886937657980785,0.8450014241697809,-0.17459269549376105
slope,60,0,120,5,0.056428368777768495,0.7490097946997176,-0.07433565275206827
slope,60,0,250,0,0.0054317141561608965,0.27723296550942017,0.07187294180362981
slope,60,0,250,5,0.19246416980496092,0.2552126702486153,-0.03367028213597205
slope,120,0,40,0,0.0757803058504748,-0.07038709779260732,0.08629737661178664
slope,120,0,40,5,-0.08542466697934727,-0.2557270848330688,-0.3066426518946154
slope,120,0,120,0,0.02953594075684326,-0.3297985554479776,-0.9525858639078163
slope,120,0,120,5,-0.08322596925352058,-0.2944217446901961,-0.797722989158201
slope,120,0,250,0,-0.178195702957961,-0.037072693867825295,-0.17750060743939652
slope,120,0,250,5,0.0026699729097731514,0.06133803082124344,0.05560510678994544
slope,250,0,40,0,0.5478373918787629,0.007176439029217409,0.47940298062976766
slope,250,0,40,5,0.39665320975111235,0.3182568897370435,0.45351295253572604
slope,250,0,120,0,0.26145656278967616,-0.3679278851763014,1.3540016559836403
slope,250,0,120,5,0.34070574448204616,-0.40631871439721196,1.3689414233998964
slope,250,0,250,0,0.23236782708322853,-0.11534998507617042,0.7310453105513596
slope,250,0,250,5,0.19193791356946682,-0.16666025641880716,0.7094378192636674
voladj,5,0,40,0,-0.09825050789029553,0.2422485223090116,0.11141474117449529
voladj,5,0,40,5,0.015519212251834676,0.5569888295945256,0.5737662768843477
voladj,5,0,120,0,0.43977410455765337,0.29683234879405346,-0.018746427645010492
voladj,5,0,120,5,0.7341662778016351,1.2196534073069687,0.763876948005918
voladj,5,0,250,0,0.539806824605484,0.3038179630330365,0.3166447952865091
voladj,5,0,250,5,0.8680433927624936,0.9352605989438216,0.6591585555490802
voladj,10,0,40,0,0.6911458980719722,0.7042642789772263,-0.25203297097698407
voladj,10,0,40,5,0.6158169940254419,0.567573858879591,0.5638563941798329
voladj,10,0,120,0,0.7415487108867425,0.9815102425684396,-0.2506415022818437
voladj,10,0,120,5,0.6605725983174312,1.6407979887052215,0.8133712409069538
voladj,10,0,250,0,0.6743187999053419,1.4167213379729704,-0.2721282288231139
voladj,10,0,250,5,0.7045271461137023,1.11831524884562,0.461529735849795
voladj,20,0,40,0,1.0916165406130187,1.3460922010786915,0.990118578278742
voladj,20,0,40,5,0.9977552692360443,1.4186611039348098,1.0505336865824682
