variant,observed,p_naive_per_variant_UNCORRECTED,null_winner_count,is_observed_winner
"(('lookback', 5), ('smoothing', 0), ('z_window', 10))",-0.649388,0.682318,28,False
"(('lookback', 5), ('smoothing', 5), ('z_window', 10))",-0.517564,0.665335,39,False
"(('lookback', 5), ('smoothing', 0), ('z_window', 15))",-0.707449,0.736264,16,False
"(('lookback', 5), ('smoothing', 5), ('z_window', 15))",-1.45557,0.975025,42,False
"(('lookback', 5), ('smoothing', 0), ('z_window', 25))",-0.873198,0.85015,11,False
"(('lookback', 5), ('smoothing', 5), ('z_window', 25))",-0.369677,0.567433,27,False
"(('lookback', 5), ('smoothing', 0), ('z_window', 250))",0.135854,0.08991,8,False
"(('lookback', 5), ('smoothing', 5), ('z_window', 250))",0.268624,0.08991,22,False
"(('lookback', 10), ('smoothing', 0), ('z_window', 20))",-0.660795,0.765235,22,False
"(('lookback', 10), ('smoothing', 5), ('z_window', 20))",-0.41971,0.636364,34,False
"(('lookback', 10), ('smoothing', 0), ('z_window', 30))",0.121983,0.121878,19,False
"(('lookback', 10), ('smoothing', 5), ('z_window', 30))",0.516406,0.01998,32,False
"(('lookback', 10), ('smoothing', 0), ('z_window', 50))",0.684126,0.002997,19,False
"(('lookback', 10), ('smoothing', 5), ('z_window', 50))",1.130889,0.000999,46,False
"(('lookback', 10), ('smoothing', 0), ('z_window', 250))",0.885379,0.002997,22,False
"(('lookback', 10), ('smoothing', 5), ('z_window', 250))",0.545212,0.014985,27,False
"(('lookback', 20), ('smoothing', 0), ('z_window', 40))",1.113144,0.001998,27,False
"(('lookback', 20), ('smoothing', 5), ('z_window', 40))",1.256076,0.001998,32,False
"(('lookback', 20), ('smoothing', 0), ('z_window', 60))",1.159825,0.000999,26,False
"(('lookback', 20), ('smoothing', 5), ('z_window', 60))",0.974334,0.005994,46,False
"(('lookback', 20), ('smoothing', 0), ('z_window', 100))",1.627625,0.000999,11,True
"(('lookback', 20), ('smoothing', 5), ('z_window', 100))",0.949376,0.007992,29,False
"(('lookback', 20), ('smoothing', 0), ('z_window', 250))",1.527264,0.001998,16,False
"(('lookback', 20), ('smoothing', 5), ('z_window', 250))",1.090769,0.006993,34,False
"(('lookback', 40), ('smoothing', 0), ('z_window', 80))",0.867011,0.00999,17,False
"(('lookback', 40), ('smoothing', 5), ('z_window', 80))",0.737678,0.012987,22,False
"(('lookback', 40), ('smoothing', 0), ('z_window', 120))",0.803415,0.013986,13,False
"(('lookback', 40), ('smoothing', 5), ('z_window', 120))",0.384262,0.043956,18,False
"(('lookback', 40), ('smoothing', 0), ('z_window', 200))",0.523486,0.016983,6,False
"(('lookback', 40), ('smoothing', 5), ('z_window', 200))",0.138258,0.127872,14,False
"(('lookback', 40), ('smoothing', 0), ('z_window', 250))",0.655795,0.015984,20,False
"(('lookback', 40), ('smoothing', 5), ('z_window', 250))",0.383712,0.052947,17,False
"(('lookback', 60), ('smoothing', 0), ('z_window', 120))",0.415788,0.03996,18,False
"(('lookback', 60), ('smoothing', 5), ('z_window', 120))",0.370114,0.065934,35,False
"(('lookback', 60), ('smoothing', 0), ('z_window', 180))",0.135929,0.138861,18,False
"(('lookback', 60), ('smoothing', 5), ('z_window', 180))",-0.005896,0.22977,32,False
"(('lookback', 60), ('smoothing', 0), ('z_window', 300))",0.246602,0.095904,33,False
"(('lookback', 60), ('smoothing', 5), ('z_window', 300))",0.245233,0.112887,39,False
"(('lookback', 60), ('smoothing', 0), ('z_window', 250))",0.448835,0.044955,30,False
"(('lookback', 60), ('smoothing', 5), ('z_window', 250))",0.381007,0.06993,33,False
