date,factor_value_opt,position_opt,factor_value_incumbent,position_incumbent,index_close,index_ret
2014-01-02,0.0,1,0.0,0,14292.1645,
2014-01-03,0.0,1,0.0,0,14267.5586,-0.0017216356556769563
2014-01-06,0.0,1,0.0,0,13879.5546,-0.027194841870143094
2014-01-07,0.0,1,0.0,0,13996.5522,0.008429492398841054
2014-01-08,0.0,1,0.0,0,14050.8176,0.0038770548078261857
2014-01-09,0.0,1,0.0,0,13791.8114,-0.018433532294946264
2014-01-10,0.0,1,0.0,0,13520.7697,-0.01965236415573368
2014-01-13,0.0,1,0.0,0,13550.4694,0.0021965983193987793
2014-01-14,0.0,1,0.0,0,13873.5772,0.02384476806390179
2014-01-15,0.0,1,0.0,0,14020.6217,0.010598888655767968
2014-01-16,0.0,1,0.0,0,14067.0996,0.003314967124460777
2014-01-17,0.0,1,0.0,0,14011.8407,-0.003928236919570782
2014-01-20,0.0,1,0.0,0,13936.0679,-0.005407769159122777
2014-01-21,0.0,1,0.0,0,14150.6649,0.015398676408572953
2014-01-22,0.0,1,0.0,0,14421.5961,0.019146181604512424
2014-01-23,0.0,1,0.0,0,14522.1396,0.006971731790491598
2014-01-24,0.0,1,0.0,0,14676.7413,0.010645931264839259
2014-01-27,0.0,1,0.0,0,14615.6144,-0.004164882295772276
2014-01-28,0.0,1,0.0,0,14574.208,-0.0028330249325679846
2014-01-29,0.0,1,0.0,0,14722.4047,0.010168422188018722
2014-01-30,0.0,1,0.0,0,14656.0256,-0.004508713172379886
2014-02-07,0.0,1,0.0,0,14906.6579,0.01710097313148795
2014-02-10,0.0,1,0.0,0,15286.8707,0.025506240402820124
2014-02-11,0.0,1,0.0,0,15359.2086,0.004732027987912613
2014-02-12,0.0,1,0.0,0,15650.5828,0.01897065191236491
2014-02-13,0.0,1,0.0,0,15431.8339,-0.013977044995410637
2014-02-14,0.0,1,0.0,0,15765.4498,0.021618681367481685
2014-02-17,0.0,1,0.0,0,16068.4748,0.019220828066700557
2014-02-18,0.0,1,0.0,0,16130.6815,0.0038713506275032117
2014-02-19,0.0,1,0.0,0,16164.9864,0.002126686339941619
2014-02-20,0.0,1,0.0,0,15953.4444,-0.013086432290471905
2014-02-21,0.0,1,0.0,0,15910.5448,-0.0026890493942487437
2014-02-24,0.0,1,0.0,0,16014.0466,0.0065052329320614
2014-02-25,0.0,1,0.0,0,15450.1657,-0.03521164350801875
2014-02-26,0.0,1,0.0,0,15588.621,0.008961411980196399
2014-02-27,0.0,1,0.0,0,15443.4603,-0.009311965439406045
2014-02-28,0.0,1,0.0,0,15613.5818,0.011015763092938391
2014-03-03,0.0,1,0.0,0,15917.0143,0.0194338815965982
2014-03-04,0.0,1,0.0,0,15953.552,0.002295512167756142
2014-03-05,0.0,1,-0.1226142003328505,0,15954.6747,7.037304294366109e-05
2014-03-06,0.0,1,-0.2557059540794084,0,15984.3833,0.001862062408580556
2014-03-07,0.0,1,-0.3816319758581777,0,15964.1401,-0.001266436097037249
2014-03-10,0.0,1,-0.5059201052993314,0,15449.3375,-0.03224743686633025
2014-03-11,0.0,1,-0.5906001335589989,0,15513.8199,0.004173797096477472
2014-03-12,0.0,1,-0.540061433478711,0,15522.0237,0.0005288059325736505
2014-03-13,0.0,1,-0.43930457881469664,0,15688.4436,0.010721533687646723
2014-03-14,0.0,1,-0.34473205868462686,0,15696.3896,0.0005064874631668381
2014-03-17,0.0,1,-0.25898705573880393,0,16024.5076,0.02090404279975311
2014-03-18,0.0,1,-0.20685861355668736,0,16122.9161,0.006141124735714154
2014-03-19,0.0,1,-0.19056137406216342,0,16276.7247,0.009539750690633397
2014-03-20,0.0,1,-0.21862563836751506,0,15911.9633,-0.022409999967622607
2014-03-21,0.0,1,-0.2825725014738179,0,16215.6306,0.01908421319699749
2014-03-24,0.0,1,-0.37532207973344295,0,16333.4536,0.007266014064232662
2014-03-25,0.0,1,-0.46444861852576924,0,16367.0135,0.0020546726260022297
2014-03-26,0.0,1,-0.5057894906292921,0,16433.0935,0.0040373889836406995
2014-03-27,0.0,1,-0.4877182138982226,0,16183.1287,-0.015211061751702393
2014-03-28,0.0,1,-0.48440663187707333,0,15813.8924,-0.02281612578413217
2014-03-31,0.0,1,-0.4300325856801213,0,15709.9547,-0.0065725564188106045
2014-04-01,0.0,1,-0.3594307158116552,0,15970.8989,0.016610117914598543
2014-04-02,0.0,1,-0.33597905244415216,0,15939.3545,-0.0019751173805251376
2014-04-03,0.0,1,-0.33392066881018745,0,16002.6878,0.0039733917706643584
2014-04-04,0.0,1,-0.2883892457107363,0,16161.3601,0.009915353094622104
2014-04-08,0.0,1,-0.26080488947176056,0,16324.3605,0.010085809547675462
2014-04-09,0.0,1,-0.24228621784047677,0,16507.7001,0.011231043323258971
2014-04-10,0.0,1,-0.21562730635598443,0,16513.808,0.00037000308722601183
2014-04-11,0.0,1,-0.23874218197721042,0,16519.8956,0.0003686369612629914
2014-04-14,0.0,1,-0.2795233358261334,0,16731.5286,0.012810795244977413
2014-04-15,0.0,1,-0.2967607327407672,0,16661.0209,-0.004214062067228075
2014-04-16,0.0,1,-0.349830736709132,0,16719.5684,0.003514040367118332
2014-04-17,0.0,1,-0.3454905083891121,0,16739.7587,0.0012075849996222576
2014-04-18,0.0,1,-0.2901487298636069,0,16807.4845,0.0040458050330201
2014-04-21,0.0,1,-0.17163162800306225,0,16536.7717,-0.01610668152036654
2014-04-22,0.0,1,-0.03751937589472183,0,16421.3214,-0.0069814291504066706
2014-04-23,0.0,1,0.12396496157749057,1,16418.6175,-0.00016465788191688535
2014-04-24,0.0,1,0.21497642316992968,1,16338.8542,-0.00485810087237859
2014-04-25,0.0,1,0.2994659540273502,1,15990.7381,-0.02130602891358191
2014-04-28,0.0,1,0.35488532385024446,1,15461.2491,-0.033112230135268095
2014-04-29,0.0,1,0.36065209649432595,1,15719.1839,0.016682662463539222
2014-04-30,0.0,1,0.3304405093434727,1,15907.3785,0.011972288205114756
2014-05-05,-0.3966077598751585,0,0.36777279560133186,1,16119.9611,0.013363773295518078
2014-05-06,-0.2677134261444002,0,0.3755776703405876,1,16260.1451,0.008696298901118338
2014-05-07,-0.35450437092751846,0,0.3520745985744689,1,16012.7132,-0.01521707822890217
2014-05-08,-0.32484184755487766,0,0.345137997918311,1,16099.7398,0.005434844108742176
2014-05-09,-0.35646441610347757,0,0.3371353971373888,1,16028.7186,-0.004411325951988343
2014-05-12,-0.4439256909585522,0,0.2868053663129365,1,16383.4644,0.02213188769812202
2014-05-13,-0.48969977905685724,0,0.22672073135181922,1,16388.2193,0.00029022555205115985
2014-05-14,-0.510373977924895,0,0.20573043216064574,1,16418.8264,0.0018676281687297625
2014-05-15,-0.5166856916562222,0,0.1508952009574496,1,16102.766,-0.01924987768918751
2014-05-16,-0.5362178217474891,0,0.14369823711670074,1,16122.5694,0.001229813561222981
2014-05-19,-0.4596347724817737,0,0.12340367244718627,1,16135.4513,0.0007989979562439409
2014-05-20,-0.3733917882829778,0,0.11393441720297563,1,16213.4139,0.004831758253950991
2014-05-21,-0.2931519165864092,0,0.0826396241826319,1,16360.7891,0.009089708121248874
2014-05-22,-0.08465136769363167,1,0.12338851704102652,1,16344.941,-0.0009686635469189353
2014-05-23,0.018767702978664466,1,0.17353743115901418,1,16489.3063,0.008832414873813255
2014-05-26,0.007345817613401218,1,0.258681808631701,1,16680.4828,0.011593968631657958
2014-05-27,0.04540735446125119,1,0.3116018276144278,1,16666.837,-0.0008180698462757485
2014-05-28,0.2602400774039561,1,0.42303388407044196,1,16813.129,0.00877743029466238
2014-05-29,0.26825585855032574,1,0.4935944492407941,1,16615.7878,-0.011737327418352761
2014-05-30,0.23135551981170016,1,0.5339316805653237,1,16712.302,0.005808584050405408
2014-06-03,0.28556211305526946,1,0.5352087183937855,1,16727.4388,0.000905728008026685
2014-06-04,0.28358057659886926,1,0.5593194282563007,1,16619.4949,-0.006453103866683851
2014-06-05,0.32221927641421944,1,0.5515802065368541,1,16852.1328,0.01399789231861659
2014-06-06,0.3599423843039406,1,0.5457095199526916,1,16870.1842,0.0010711641199505628
2014-06-09,0.2630837623911024,1,0.5295264993658515,1,16861.4321,-0.0005187910159272224
2014-06-10,0.384804881923144,1,0.5514779285297651,1,17063.5589,0.011987522696841335
2014-06-11,0.39162863790426516,1,0.5853154551470123,1,17157.5364,0.005507497032169573
2014-06-12,0.47315147850453965,1,0.6009740745450454,1,17158.2556,4.191743984871543e-05
2014-06-13,0.4215596247887733,1,0.6125487247829854,1,17339.4376,0.010559465030932413
2014-06-16,0.47000036945598467,1,0.638904597948445,1,17457.586,0.00681385421635583
2014-06-17,0.43034577343566793,1,0.6485494314271365,1,17382.1527,-0.004320946779239776
2014-06-18,0.4268819420493202,1,0.6538563783210078,1,17253.1935,-0.00741905805487475
2014-06-19,0.37631172231887733,1,0.6328500339285215,1,16806.7704,-0.025874809785214503
2014-06-20,0.479791597960583,1,0.6114823806864523,1,17019.2292,0.012641262713983359
2014-06-23,0.5596093127625237,1,0.5917835351780971,1,17209.1958,0.011161880351197029
2014-06-24,0.575426383207417,1,0.5466995489896375,1,17345.3621,0.007912415058930033
2014-06-25,0.5878388390978732,1,0.5062283249633218,1,17325.2868,-0.0011573871957389903
2014-06-26,0.6578361261776664,1,0.4695935360799055,1,17581.8992,0.014811437349481427
2014-06-27,0.6380532977863651,1,0.41633938934127873,1,17771.5717,0.010787941498379139
2014-06-30,0.6207582343955221,1,0.3444467250805728,1,17918.7207,0.008280021738313659
2014-07-01,0.6185009692006388,1,0.3071450772505483,1,18032.8348,0.0063684289693739515
2014-07-02,0.5567838543698553,1,0.2522641602090727,1,18139.9457,0.0059397704902171
2014-07-03,0.605101378203673,1,0.20190527047124468,1,18225.7434,0.004729766087447462
2014-07-04,0.6141583713996199,1,0.16443592695317186,1,18279.2242,0.0029343549300711036
2014-07-07,0.6261177084087804,1,0.1559587795117129,1,18348.2623,0.0037768616022553214
2014-07-08,0.6504364446569186,1,0.12032857245871856,1,18493.2021,0.007899374754414712
2014-07-09,0.6033763228984687,1,0.07539271592621087,1,18252.3581,-0.013023380088405423
2014-07-10,0.5540847887710397,1,-0.008293990023959141,0,18380.5154,0.007021410565027253
2014-07-11,0.5647817335436365,1,-0.0881966300730772,0,18570.9867,0.010362674596165133
2014-07-14,0.5807554328613473,1,-0.18840088200282512,0,18778.2797,0.011162196352227038
2014-07-15,0.5226378449352058,1,-0.29431671922453234,0,18725.3238,-0.002820061307319932
2014-07-16,0.4147147214662717,1,-0.4050119005529229,0,18578.7534,-0.007827389345331226
2014-07-17,0.3977062124661159,1,-0.45200372719813553,0,18568.8095,-0.0005352296672392898
2014-07-18,0.3448760710869718,1,-0.5083371422246031,0,18614.3471,0.0024523704656456147
2014-07-21,0.30112376474276503,1,-0.5675633925167327,0,18589.4622,-0.0013368666580843014
2014-07-22,0.25181722322185657,1,-0.5993725072840967,0,18768.9202,0.0096537488857531
2014-07-23,0.20176470497538562,1,-0.6194171207871858,0,18558.6008,-0.01120572722132418
2014-07-24,-0.0008335049063536264,1,-0.6672116811529275,0,18495.2245,-0.0034149287806223283
2014-07-25,-0.044750239554208024,1,-0.6962752563266015,0,18686.3906,0.010335970779916659
2014-07-28,-0.09409264275808424,1,-0.7123916932612827,0,18920.5795,0.012532591500040713
2014-07-29,0.06490974807076684,1,-0.7179413152457216,0,19113.5661,0.010199825010645203
2014-07-30,0.08149532570513505,1,-0.6881099466083331,0,19228.4194,0.006008993790018069
2014-07-31,0.0054783635953581855,1,-0.6439564182103202,0,19384.1104,0.008096921372539034
2014-08-01,0.02305332657567677,1,-0.5972722316811424,0,19246.9579,-0.00707551170364773
2014-08-04,0.028035256556609024,1,-0.5630158096709492,0,19519.9967,0.014186075608343174
2014-08-05,-0.007784371317745224,1,-0.53662379731165,0,19688.3729,0.008625831376293247
2014-08-06,-0.08207307743140214,1,-0.515881167817166,0,19765.6055,0.003922751788188794
2014-08-07,-0.12183754653316872,0,-0.4669809560799578,0,19600.7956,-0.008338216605608184
2014-08-08,-0.021453492777617277,1,-0.3995198641222148,0,19775.3049,0.008903174318087181
2014-08-11,-0.035865578696592404,1,-0.32190529680565233,0,20046.0381,0.013690469065789301
2014-08-12,-0.03464114240265377,1,-0.22337542310377173,0,20153.5169,0.005361598110501298
2014-08-13,-0.09243501829640702,1,-0.11475521327808849,0,20199.1338,0.0022634709478424053
2014-08-14,-0.037743466180461774,1,-0.025803932219902903,0,20178.3365,-0.0010296134579790284
2014-08-15,-0.09435247908868967,1,0.04322234620554794,1,20441.504,0.013042081045679943
2014-08-18,-0.1982416123961792,0,0.11119883800997869,1,20812.5098,0.018149633216812067
2014-08-19,-0.1567361686075857,0,0.1652440954102381,1,20979.2819,0.008013070100752584
2014-08-20,-0.21507584168990257,0,0.214249360203205,1,21072.0789,0.004423268653442225
2014-08-21,-0.16904369148336248,0,0.31694570959626317,1,21145.6272,0.0034903200746840835
2014-08-22,-0.12125741503445053,0,0.4102533168094199,1,21365.8527,0.010414706450513789
2014-08-25,-0.17737907837110906,0,0.4964878586769146,1,21303.4449,-0.002920913144739634
2014-08-26,-0.21165397465213381,0,0.5436904300296194,1,20922.9276,-0.017861773144492665
2014-08-27,-0.2043066223522012,0,0.5530626703482235,1,21107.2665,0.008810377951123938
2014-08-28,-0.19087382131507935,0,0.5146408347588934,1,21013.1485,-0.004459033101230858
2014-08-29,-0.20929683692325682,0,0.46393025162495916,1,21258.0561,0.011654969268408477
2014-09-01,-0.22435012503744048,0,0.4311475189928798,1,21657.7641,0.01880265994782082
2014-09-02,-0.24185683690325108,0,0.4159290199610302,1,21962.3329,0.0140627997698064
2014-09-03,-0.1432074231935691,0,0.44534548886312814,1,22150.9273,0.008587175181193896
2014-09-04,-0.1108500342832214,0,0.43764251462952614,1,22394.4621,0.01099433882391021
2014-09-05,-0.12015890284094144,0,0.40121866024125835,1,22505.544,0.00496023970140369
2014-09-09,-0.11758512242142254,0,0.349038819569,1,22733.3567,0.01012251470126646
2014-09-10,-0.01020946813034739,1,0.30016153028318304,1,23014.8752,0.012383499001711318
2014-09-11,0.12343514194448069,1,0.24264855263122964,1,23113.6948,0.004293727388971602
2014-09-12,0.020124470795710107,1,0.1836040148359913,1,23475.9184,0.015671384568078484
2014-09-15,-0.009705973136711989,1,0.15236413750135294,1,23863.7509,0.016520439941553056
2014-09-16,-0.08566909163668737,1,0.1070728888561147,1,23187.3985,-0.028342250253710066
2014-09-17,-0.1220232706207133,0,0.04187267833869571,1,23479.0807,0.012579341317655812
2014-09-18,0.07776441794530141,1,0.0008263670125326569,1,23681.1676,0.008607104451070047
2014-09-19,0.25547461199471927,1,-0.04833733444141849,0,24006.6447,0.01374413227834248
2014-09-22,0.3217626558000944,1,-0.06024641724862033,0,23812.9662,-0.00806770385534139
2014-09-23,0.32992235919012664,1,-0.03298968646324348,0,24218.4047,0.01702595538056073
2014-09-24,0.21300171387189326,1,0.0010986023576915777,1,24550.4457,0.0137102754749161
2014-09-25,0.19858985674549912,1,0.002683946562023047,1,24568.0304,0.0007162680553698397
2014-09-26,0.15374443708401242,1,0.018335438813693584,1,24757.2355,0.007701272626233768
