family,form,k,kou_jing,ic,n_windows,ic_2014-2019,ic_2020-2026
F1,F1_lb5zw60,3,500,0.05620615891075672,1077,0.06839016617856622,0.054588851415227686
F1,F1_lb5zw60,3,1000,0.04411838529445561,1077,0.06924553675880525,0.050763836915923836
F1,F1_lb5zw60,3,blend,0.048845333191269644,1077,0.0663538169288778,0.0536626910808604
F1,F1_lb5zw60,5,500,0.09084357618802112,646,0.13456359660870032,-0.005280722818013471
F1,F1_lb5zw60,5,1000,0.08802413661061656,646,0.1350082055427589,-0.017195417268675846
F1,F1_lb5zw60,5,blend,0.09249366499658421,646,0.1334761795772076,-0.01504031570066042
F1,F1_lb5zw60,10,500,0.13072089119229463,322,0.1887065029129271,0.07185282356845948
F1,F1_lb5zw60,10,1000,0.11842145699358467,322,0.19314674854353645,0.02295206334655687
F1,F1_lb5zw60,10,blend,0.1240516138447081,322,0.18866320264525271,0.05367704003413886
F1,F1_lb5zw60,20,500,0.08089476151412164,160,0.1774390636053766,0.010121457489878543
F1,F1_lb5zw60,20,1000,0.07972870033985703,160,0.17177953566145734,-0.04634838845365161
F1,F1_lb5zw60,20,blend,0.08152173913043477,160,0.1791433532703068,-0.024975024975024972
F1,F1_lb5zw250,3,500,0.05890005390594891,1077,0.0724586049677779,0.056703979830323326
F1,F1_lb5zw250,3,1000,0.05942080469926008,1077,0.07340519568277337,0.06365542507160733
F1,F1_lb5zw250,3,blend,0.0584335952155632,1077,0.07177601238765274,0.06106450810325283
F1,F1_lb5zw250,5,500,0.07349641110135416,646,0.1265319042215935,0.02470559598517922
F1,F1_lb5zw250,5,1000,0.08597668220199835,646,0.13141334995544174,0.026027146374717647
F1,F1_lb5zw250,5,blend,0.08257679595441136,646,0.12764756585130682,0.02465433063100998
F1,F1_lb5zw250,10,500,0.10992841714200169,322,0.13103054637065029,0.09423590586524633
F1,F1_lb5zw250,10,1000,0.10162731445579795,322,0.1435285781766651,0.07373046103270059
F1,F1_lb5zw250,10,blend,0.10497075923549344,322,0.13617146905999056,0.09072402838583235
F1,F1_lb5zw250,20,500,0.0916031876245166,160,0.10540870795549555,-0.011856564488143435
F1,F1_lb5zw250,20,1000,0.09020274229462087,160,0.08920187793427233,-0.03662127346337872
F1,F1_lb5zw250,20,blend,0.09173795851400446,160,0.09444337256415206,-0.03378200746621799
F1,F1_lb20zw60,3,500,0.06506138148734196,1077,0.09570197322242295,0.08341834950024586
F1,F1_lb20zw60,3,1000,0.04168022608415096,1077,0.07752059517917173,0.05775479139708531
F1,F1_lb20zw60,3,blend,0.0523481824412154,1077,0.08618931315602134,0.07059453940363025
F1,F1_lb20zw60,5,500,0.08513458940241926,646,0.10130996498643773,0.04694145418286156
F1,F1_lb20zw60,5,1000,0.0660206675069938,646,0.09076450335769837,0.01647535427881778
F1,F1_lb20zw60,5,blend,0.07546196199209387,646,0.09661649192350585,0.028045279439227463
F1,F1_lb20zw60,10,500,0.08430696216124124,322,0.10439694536293498,0.08101657947558911
F1,F1_lb20zw60,10,1000,0.06824031180084687,322,0.09857109116674538,0.018080953359358946
