开始日期,2010-01-01,,,,
截止日期,当前日期,,,,
收盘价,close,,,,
日期,稳定(风格.中信),成长(风格.中信),金融(风格.中信),周期(风格.中信),消费(风格.中信)
Date,CI005921.WI,CI005920.WI,CI005917.WI,CI005918.WI,CI005919.WI
2010-01-04,2007.4534,2900.7437,4642.1959,3344.0311,4206.3069
2010-01-05,2022.6322,2948.4922,4671.0098,3387.8723,4216.7708
2010-01-06,2013.0169,2945.077,4616.1903,3390.1377,4186.0774
2010-01-07,1976.2879,2880.8933,4536.0895,3324.7889,4091.0497
2010-01-08,1995.7165,2913.108,4572.9777,3321.9122,4125.3873
2010-01-11,2006.021,2967.5546,4563.6655,3328.5396,4130.4723
2010-01-12,2048.4637,3028.4586,4597.4094,3394.2341,4223.8949
2010-01-13,2023.2021,3020.9677,4376.1353,3306.5564,4201.9976
2010-01-14,2055.4191,3097.6409,4418.3253,3366.6243,4324.5488
2010-01-15,2059.2849,3110.2824,4450.8341,3385.807,4337.7956
2010-01-18,2092.0643,3148.9761,4439.3698,3418.2453,4415.9787
2010-01-19,2090.8504,3137.4751,4470.6845,3419.2151,4407.729
2010-01-20,2035.8541,3007.1043,4334.2819,3296.6841,4265.6874
2010-01-21,2043.3335,3016.7644,4410.6717,3274.9259,4288.4609
2010-01-22,2011.2175,2934.8408,4424.2562,3185.355,4186.0858
2010-01-25,1979.1328,2900.6046,4357.3185,3147.9463,4145.44
2010-01-26,1924.7932,2805.4001,4268.5881,3037.0422,4019.3418
2010-01-27,1919.4274,2791.0652,4176.0758,3007.9395,3992.1516
2010-01-28,1935.7311,2830.5809,4145.1622,3033.1657,4062.8755
2010-01-29,1936.1129,2856.1239,4133.96,3031.8252,4110.2293
2010-02-01,1901.9478,2800.5739,4103.0417,2953.268,4114.0237
2010-02-02,1895.5791,2779.5082,4100.9781,2953.116,4074.4622
2010-02-03,1937.7298,2805.8827,4236.0962,3036.5544,4095.0985
2010-02-04,1953.1424,2833.8676,4222.7552,3025.1776,4128.3815
2010-02-05,1923.1197,2775.7811,4136.1335,2952.9941,4069.0438
2010-02-08,1918.4676,2773.8883,4117.3723,2960.2922,4081.6601
2010-02-09,1935.9859,2782.5607,4138.72,2974.1878,4068.1444
2010-02-10,1942.7555,2834.0915,4202.9026,3016.5077,4116.6936
2010-02-11,1936.4115,2825.6093,4202.5379,3025.612,4117.8925
2010-02-12,1961.5357,2854.8962,4240.7457,3066.9255,4161.1758
2010-02-22,1967.1601,2860.6348,4206.5253,3059.4721,4146.8147
2010-02-23,1970.9657,2889.4192,4123.4457,3057.3384,4162.3644
2010-02-24,2004.0603,2953.8135,4165.9903,3117.1966,4248.5143
2010-02-25,2028.5929,2988.4958,4257.2495,3159.6958,4310.3743
2010-02-26,2025.3864,2992.4166,4248.7872,3151.6377,4309.6217
2010-03-01,2049.4904,3024.2883,4312.9191,3196.1302,4343.9473
2010-03-02,2040.8212,3036.3625,4320.0267,3173.3863,4334.4253
2010-03-03,2060.5715,3085.5939,4331.1057,3210.0609,4371.0103
2010-03-04,2005.7406,2972.8996,4228.5161,3115.0864,4238.3754
2010-03-05,2012.3215,2975.1854,4244.8205,3125.7973,4250.9974
2010-03-08,2021.5965,3003.1705,4288.9678,3162.4566,4275.5267
2010-03-09,2018.7716,2996.6991,4344.731,3174.5744,4273.8824
2010-03-10,2000.2561,2961.8488,4312.17,3144.5005,4231.724
2010-03-11,1996.9291,2943.545,4330.252,3129.6643,4203.7717
2010-03-12,1968.9989,2902.4616,4271.1271,3086.6556,4148.5586
2010-03-15,1954.5526,2876.1467,4213.6698,3039.4408,4106.9873
2010-03-16,1966.1365,2895.4139,4262.0047,3053.5825,4133.6116
2010-03-17,2005.4121,2977.0547,4358.2108,3126.3194,4228.5464
2010-03-18,2001.2529,2984.5936,4351.9949,3128.0948,4226.5617
2010-03-19,2010.4912,3014.6718,4375.0423,3165.1215,4248.565
2010-03-22,2016.8643,3043.4144,4385.3619,3177.3816,4267.1785
2010-03-23,2001.8359,3025.0809,4335.3808,3157.7009,4255.4381
2010-03-24,2008.8476,3038.3908,4336.465,3159.9356,4272.6162
2010-03-25,1978.6309,3009.9415,4267.2253,3119.6555,4219.2202
2010-03-26,2004.4741,3044.276,4338.5117,3158.0285,4267.68
2010-03-29,2035.5198,3063.6599,4478.1755,3212.257,4315.1414
2010-03-30,2034.2323,3087.2389,4491.2122,3226.881,4329.3957
2010-03-31,2031.0217,3099.8172,4467.1128,3215.133,4331.2314
2010-04-01,2051.8572,3142.6885,4527.4959,3267.6671,4388.1872
2010-04-02,2055.5047,3144.5175,4528.317,3304.758,4388.9714
2010-04-06,2058.7556,3155.2854,4510.2971,3323.5128,4383.8181
2010-04-07,2050.3493,3176.2397,4465.5642,3327.3097,4388.0211
2010-04-08,2036.1895,3183.0345,4391.9073,3297.9148,4392.9802
2010-04-09,2055.0732,3250.208,4427.7837,3333.9965,4454.4432
2010-04-12,2052.677,3308.4953,4332.5941,3338.5427,4494.395
2010-04-13,2055.9572,3246.6367,4423.0517,3328.6521,4465.0283
2010-04-14,2062.9368,3279.8056,4414.8726,3360.8628,4518.6116
2010-04-15,2046.7512,3228.6923,4401.5739,3348.6125,4469.5672
2010-04-16,2033.8768,3232.1769,4330.6794,3323.5608,4466.8602
2010-04-19,1944.8963,3107.6014,4059.1442,3158.2054,4324.1273
2010-04-20,1946.6706,3175.325,4010.1238,3174.1579,4389.5234
