ts_code,end_date,statement_type,old_ann_date,data_source,new_ann_date
000049.SZ,2016-12-31,balance,2016-08-16,csmar,2017-04-30
000049.SZ,2016-12-31,income,2016-08-16,csmar,2017-04-30
000401.SZ,2016-12-31,balance,2015-12-15,csmar,2017-04-30
000410.SZ,2013-12-31,income,2013-12-11,csmar,2014-04-30
000520.SZ,2010-12-31,income,2010-04-07,csmar,2011-04-30
000554.SZ,2012-12-31,balance,2012-06-09,csmar,2013-04-30
000554.SZ,2012-12-31,income,2012-06-09,csmar,2013-04-30
000600.SZ,2012-06-30,balance,2012-04-18,csmar,2012-08-31
000600.SZ,2012-06-30,income,2012-04-18,csmar,2012-08-31
000655.SZ,2015-12-31,income,2015-08-22,csmar,2016-04-30
000657.SZ,2012-12-31,income,2012-06-27,csmar,2013-04-30
000676.SZ,2011-12-31,balance,2011-12-30,csmar,2012-04-30
000717.SZ,2012-03-31,balance,2012-03-30,csmar,2012-04-30
000717.SZ,2015-12-31,balance,2015-06-24,csmar,2016-04-30
000717.SZ,2015-12-31,income,2015-06-24,csmar,2016-04-30
000792.SZ,2011-12-31,income,2011-04-09,csmar,2012-04-30
000810.SZ,2023-12-31,balance,2023-09-27,csmar,2024-04-30
000835.SZ,2011-12-31,balance,2011-03-26,csmar,2012-04-30
000835.SZ,2012-12-31,balance,2011-03-26,csmar,2013-04-30
000835.SZ,2013-12-31,balance,2011-03-26,csmar,2014-04-30
000835.SZ,2014-12-31,balance,2011-03-26,csmar,2015-04-30
000835.SZ,2015-12-31,balance,2011-03-26,csmar,2016-04-30
000835.SZ,2011-12-31,income,2011-03-26,csmar,2012-04-30
000835.SZ,2012-12-31,income,2011-03-26,csmar,2013-04-30
000835.SZ,2013-12-31,income,2011-03-26,csmar,2014-04-30
000835.SZ,2014-12-31,income,2011-03-26,csmar,2015-04-30
000835.SZ,2015-12-31,income,2011-03-26,csmar,2016-04-30
000898.SZ,2013-12-31,balance,2012-11-17,csmar,2014-04-30
000898.SZ,2013-12-31,income,2012-11-17,csmar,2014-04-30
000927.SZ,2012-12-31,income,2012-10-30,csmar,2013-04-30
002120.SZ,2022-12-31,balance,2022-10-31,csmar,2023-04-30
002120.SZ,2022-12-31,income,2022-10-31,csmar,2023-04-30
002128.SZ,2013-12-31,income,2012-12-11,csmar,2014-04-30
002136.SZ,2011-12-31,income,2011-03-01,csmar,2012-04-30
002139.SZ,2016-12-31,income,2016-06-16,csmar,2017-04-30
002147.SZ,2013-12-31,income,2013-10-26,csmar,2014-04-30
002152.SZ,2014-12-31,income,2014-03-29,csmar,2015-04-30
002178.SZ,2013-09-30,income,2013-09-28,csmar,2013-10-31
002198.SZ,2014-12-31,balance,2014-12-09,csmar,2015-04-30
002198.SZ,2014-12-31,income,2014-12-09,csmar,2015-04-30
002204.SZ,2013-12-31,income,2013-09-26,csmar,2014-04-30
002229.SZ,2014-12-31,balance,2014-08-28,csmar,2015-04-30
002264.SZ,2012-12-31,income,2012-03-10,csmar,2013-04-30
002267.SZ,2013-12-31,balance,2013-04-02,csmar,2014-04-30
002267.SZ,2013-12-31,income,2013-04-02,csmar,2014-04-30
002306.SZ,2013-12-31,income,2013-03-15,csmar,2014-04-30
002311.SZ,2016-12-31,balance,2016-12-07,csmar,2017-04-30
002328.SZ,2015-12-31,income,2014-12-30,csmar,2016-04-30
002396.SZ,2015-12-31,income,2015-04-27,csmar,2016-04-30
002420.SZ,2022-12-31,balance,2022-03-15,csmar,2023-04-30
002420.SZ,2022-12-31,income,2022-03-15,csmar,2023-04-30
002446.SZ,2013-12-31,income,2013-06-22,csmar,2014-04-30
002466.SZ,2016-12-31,income,2016-04-23,csmar,2017-04-30
002480.SZ,2015-12-31,income,2015-05-27,csmar,2016-04-30
002517.SZ,2011-12-31,income,2011-11-25,csmar,2012-04-30
002542.SZ,2013-12-31,income,2013-12-21,csmar,2014-04-30
002603.SZ,2015-12-31,income,2015-10-30,csmar,2016-04-30
002644.SZ,2022-12-31,balance,2022-08-05,csmar,2023-04-30
002644.SZ,2022-12-31,income,2022-08-05,csmar,2023-04-30
002747.SZ,2016-09-30,income,2016-09-13,csmar,2016-10-31
002869.SZ,2022-12-31,income,2022-08-26,csmar,2023-04-30
003003.SZ,2022-12-31,income,2022-10-28,csmar,2023-04-30
200771.SH,2015-03-31,income,2015-03-28,csmar,2015-04-30
300048.SZ,2013-12-31,income,2012-02-29,csmar,2014-04-30
300048.SZ,2014-12-31,income,2012-02-29,csmar,2015-04-30
300130.SZ,2018-12-31,income,2018-06-12,csmar,2019-04-30
300244.SZ,2022-12-31,balance,2022-07-19,csmar,2023-04-30
300244.SZ,2022-12-31,income,2022-07-19,csmar,2023-04-30
300260.SZ,2016-12-31,cashflow_indirect,2016-10-26,csmar,2017-04-30
300409.SZ,2023-12-31,balance,2023-10-11,csmar,2024-04-30
300409.SZ,2023-12-31,income,2023-10-11,csmar,2024-04-30
300500.SZ,2017-06-30,income,2017-04-22,csmar,2017-08-31
300639.SZ,2017-12-31,balance,2017-08-29,csmar,2018-04-30
300945.SZ,2023-12-31,balance,2023-08-30,csmar,2024-04-30
300945.SZ,2023-12-31,income,2023-08-30,csmar,2024-04-30
300986.SZ,2023-12-31,income,2023-08-19,csmar,2024-04-30
600017.SH,2018-12-31,income,2018-03-20,csmar,2019-04-30
600054.SH,2015-12-31,income,2015-04-24,csmar,2016-04-30
600096.SH,2016-12-31,balance,2016-08-26,csmar,2017-04-30
600098.SH,2022-12-31,income,2022-08-31,csmar,2023-04-30
600117.SH,2016-12-31,balance,2016-07-30,csmar,2017-04-30
600117.SH,2016-12-31,income,2016-07-30,csmar,2017-04-30
600150.SH,2016-12-31,income,2016-04-16,csmar,2017-04-30
600150.SH,2020-12-31,income,2020-12-29,csmar,2021-04-30
600157.SH,2012-12-31,balance,2012-08-30,csmar,2013-04-30
600157.SH,2012-12-31,income,2012-08-30,csmar,2013-04-30
600179.SH,2023-12-31,income,2023-04-18,csmar,2024-04-30
