ts_code,end_date,statement_type,old_ann_date,wind_stm_issuingdate,action
0016.HK,2025-06-30,income,2025-02-27,2025-02-27,SKIPPED
0016.HK,2025-06-30,profitability,2025-02-27,2025-02-27,SKIPPED
0016.HK,2025-12-31,income,2025-09-04,2025-09-04,SKIPPED
0016.HK,2025-12-31,profitability,2025-09-04,2025-09-04,SKIPPED
0017.HK,2025-06-30,income,2025-02-28,2025-02-28,SKIPPED
0017.HK,2025-06-30,profitability,2025-02-28,2025-02-28,SKIPPED
0017.HK,2025-12-31,income,2025-09-26,2025-09-26,SKIPPED
0017.HK,2025-12-31,profitability,2025-09-26,2025-09-26,SKIPPED
0083.HK,2025-06-30,income,2025-02-26,2025-02-26,SKIPPED
0083.HK,2025-06-30,profitability,2025-02-26,2025-02-26,SKIPPED
0083.HK,2025-12-31,income,2025-08-27,2025-08-27,SKIPPED
0083.HK,2025-12-31,profitability,2025-08-27,2025-08-27,SKIPPED
0151.HK,2025-06-30,income,2024-11-25,2024-11-25,SKIPPED
0151.HK,2025-06-30,profitability,2024-11-25,2024-11-25,SKIPPED
0151.HK,2025-12-31,income,2025-06-24,2025-06-24,SKIPPED
0151.HK,2025-12-31,profitability,2025-06-24,2025-06-24,SKIPPED
0179.HK,2025-06-30,income,2024-11-20,2024-11-20,SKIPPED
0179.HK,2025-06-30,profitability,2024-11-20,2024-11-20,SKIPPED
0179.HK,2025-12-31,income,2025-05-28,2025-05-28,SKIPPED
0179.HK,2025-12-31,profitability,2025-05-28,2025-05-28,SKIPPED
0241.HK,2025-06-30,income,2024-11-13,2024-11-13,SKIPPED
0241.HK,2025-06-30,profitability,2024-11-13,2024-11-13,SKIPPED
0241.HK,2025-12-31,income,2025-05-19,2025-05-19,SKIPPED
0241.HK,2025-12-31,profitability,2025-05-19,2025-05-19,SKIPPED
0290.HK,2025-06-30,income,2024-11-28,2024-11-28,SKIPPED
0290.HK,2025-06-30,profitability,2024-11-28,2024-11-28,SKIPPED
0290.HK,2025-12-31,income,2025-06-30,2025-06-30,SKIPPED
0290.HK,2025-12-31,profitability,2025-06-30,2025-06-30,SKIPPED
0303.HK,2025-06-30,income,2024-11-12,2024-11-12,SKIPPED
0303.HK,2025-06-30,profitability,2024-11-12,2024-11-12,SKIPPED
0303.HK,2025-12-31,income,2025-05-14,2025-05-14,SKIPPED
0303.HK,2025-12-31,profitability,2025-05-14,2025-05-14,SKIPPED
0345.HK,2025-06-30,income,2024-11-26,2024-11-26,SKIPPED
0345.HK,2025-06-30,profitability,2024-11-26,2024-11-26,SKIPPED
0345.HK,2025-12-31,income,2025-06-24,2025-06-24,SKIPPED
0345.HK,2025-12-31,profitability,2025-06-24,2025-06-24,SKIPPED
0384.HK,2025-06-30,income,2024-11-29,2024-11-29,SKIPPED
0384.HK,2025-06-30,profitability,2024-11-29,2024-11-29,SKIPPED
0384.HK,2025-12-31,income,2025-06-27,2025-06-27,SKIPPED
0384.HK,2025-12-31,profitability,2025-06-27,2025-06-27,SKIPPED
0590.HK,2025-06-30,income,2024-11-26,2024-11-26,SKIPPED
0590.HK,2025-06-30,profitability,2024-11-26,2024-11-26,SKIPPED
0590.HK,2025-12-31,income,2025-06-27,2025-06-27,SKIPPED
0590.HK,2025-12-31,profitability,2025-06-27,2025-06-27,SKIPPED
0659.HK,2025-06-30,income,2025-02-26,2025-02-26,SKIPPED
0659.HK,2025-06-30,profitability,2025-02-26,2025-02-26,SKIPPED
0659.HK,2025-12-31,income,2025-09-24,2025-09-24,SKIPPED
0659.HK,2025-12-31,profitability,2025-09-24,2025-09-24,SKIPPED
0839.HK,2025-06-30,income,2025-04-30,2025-04-30,SKIPPED
0839.HK,2025-06-30,profitability,2025-04-30,2025-04-30,SKIPPED
0839.HK,2025-12-31,income,2025-11-26,2025-11-26,SKIPPED
0839.HK,2025-12-31,profitability,2025-11-26,2025-11-26,SKIPPED
0855.HK,2025-06-30,income,2024-11-29,2024-11-29,SKIPPED
0855.HK,2025-06-30,profitability,2024-11-29,2024-11-29,SKIPPED
0855.HK,2025-12-31,income,2025-06-30,2025-06-30,SKIPPED
0855.HK,2025-12-31,profitability,2025-06-30,2025-06-30,SKIPPED
0992.HK,2025-06-30,income,2024-11-15,2024-11-15,SKIPPED
0992.HK,2025-06-30,profitability,2024-11-15,2024-11-15,SKIPPED
0992.HK,2025-09-30,income,2025-02-20,2025-02-20,SKIPPED
0992.HK,2025-09-30,profitability,2025-02-20,2025-02-20,SKIPPED
0992.HK,2025-12-31,income,2025-05-22,2025-05-22,SKIPPED
0992.HK,2025-12-31,profitability,2025-05-22,2025-05-22,SKIPPED
0992.HK,2026-03-31,income,2025-08-14,2025-08-14,SKIPPED
0992.HK,2026-03-31,profitability,2025-08-14,2025-08-14,SKIPPED
1060.HK,2025-06-30,income,2024-11-20,2024-11-20,SKIPPED
1060.HK,2025-06-30,profitability,2024-11-20,2024-11-20,SKIPPED
1060.HK,2025-12-31,income,2025-05-19,2025-05-19,SKIPPED
1060.HK,2025-12-31,profitability,2025-05-19,2025-05-19,SKIPPED
1310.HK,2025-06-30,income,2025-04-25,2025-04-25,SKIPPED
1310.HK,2025-06-30,profitability,2025-04-25,2025-04-25,SKIPPED
1310.HK,2025-12-31,income,2025-10-31,2025-10-31,SKIPPED
1310.HK,2025-12-31,profitability,2025-10-31,2025-10-31,SKIPPED
1428.HK,2025-06-30,income,2024-11-26,2024-11-26,SKIPPED
