ts_code,formation_date,required_formation,list_date,delist_date,raw_price_row_present,raw_close,suspension_evidence,carry_close_date,carry_close,usable_carry,previous_nonnull_close_date,previous_nonnull_close,next_nonnull_close_date,next_nonnull_close,after_last_observed_close,no_later_observed_close,evidence_bucket,reason_code
000545.SZ,2013-05-31,False,1993-12-15,,False,,False,,,False,2012-04-25,6.2000,2013-07-26,11.5200,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2013-05-31,False,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600698.SH,2013-05-31,False,1993-12-06,,False,,False,,,False,2012-04-26,4.8600,2013-07-05,4.1900,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000545.SZ,2013-06-28,False,1993-12-15,,False,,False,,,False,2012-04-25,6.2000,2013-07-26,11.5200,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2013-06-28,False,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600698.SH,2013-06-28,False,1993-12-06,,False,,False,,,False,2012-04-26,4.8600,2013-07-05,4.1900,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2013-07-31,False,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2013-08-30,False,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2013-09-30,False,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2013-10-31,False,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2013-11-29,False,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2013-12-31,False,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2014-01-30,True,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2014-02-28,True,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2014-03-31,True,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2014-04-30,True,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2014-05-30,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2014-05-30,True,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2014-05-30,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2014-06-30,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2014-06-30,True,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2014-06-30,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2014-07-31,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000751.SZ,2014-07-31,True,1997-06-26,,False,,False,,,False,2013-03-11,3.8800,2014-08-06,9.6600,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2014-07-31,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2014-08-29,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2014-08-29,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2014-09-30,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2014-09-30,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2014-10-31,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2014-10-31,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2014-11-28,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2014-11-28,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2014-12-31,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2014-12-31,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2015-01-30,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2015-01-30,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2015-02-27,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2015-02-27,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2015-03-31,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2015-03-31,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2015-04-30,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2015-04-30,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2015-05-29,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2015-05-29,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2015-06-30,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2015-06-30,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000520.SZ,2015-07-31,True,1993-10-25,,False,,False,,,False,2013-12-26,2.5300,2015-12-18,21.2000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
002506.SZ,2015-07-31,True,2010-11-18,,False,,False,,,False,2014-04-28,1.9100,2015-08-12,13.2500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600710.SH,2016-04-29,True,1996-07-01,,False,,False,,,False,2016-03-29,9.3600,2017-07-31,7.5500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600732.SH,2016-04-29,True,1996-08-16,,False,,False,,,False,2016-03-17,7.6700,2017-06-06,7.6500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000155.SZ,2016-05-31,True,2000-09-26,,False,,False,,,False,2016-04-25,10.2700,2017-12-18,7.3000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600710.SH,2016-05-31,True,1996-07-01,,False,,False,,,False,2016-03-29,9.3600,2017-07-31,7.5500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600732.SH,2016-05-31,True,1996-08-16,,False,,False,,,False,2016-03-17,7.6700,2017-06-06,7.6500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000155.SZ,2016-06-30,True,2000-09-26,,False,,False,,,False,2016-04-25,10.2700,2017-12-18,7.3000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600710.SH,2016-06-30,True,1996-07-01,,False,,False,,,False,2016-03-29,9.3600,2017-07-31,7.5500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600732.SH,2016-06-30,True,1996-08-16,,False,,False,,,False,2016-03-17,7.6700,2017-06-06,7.6500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000155.SZ,2016-07-29,True,2000-09-26,,False,,False,,,False,2016-04-25,10.2700,2017-12-18,7.3000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600710.SH,2016-07-29,True,1996-07-01,,False,,False,,,False,2016-03-29,9.3600,2017-07-31,7.5500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600732.SH,2016-07-29,True,1996-08-16,,False,,False,,,False,2016-03-17,7.6700,2017-06-06,7.6500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000155.SZ,2016-08-31,True,2000-09-26,,False,,False,,,False,2016-04-25,10.2700,2017-12-18,7.3000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600710.SH,2016-08-31,True,1996-07-01,,False,,False,,,False,2016-03-29,9.3600,2017-07-31,7.5500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600732.SH,2016-08-31,True,1996-08-16,,False,,False,,,False,2016-03-17,7.6700,2017-06-06,7.6500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000155.SZ,2016-09-30,True,2000-09-26,,False,,False,,,False,2016-04-25,10.2700,2017-12-18,7.3000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600710.SH,2016-09-30,True,1996-07-01,,False,,False,,,False,2016-03-29,9.3600,2017-07-31,7.5500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600732.SH,2016-09-30,True,1996-08-16,,False,,False,,,False,2016-03-17,7.6700,2017-06-06,7.6500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000155.SZ,2016-10-31,True,2000-09-26,,False,,False,,,False,2016-04-25,10.2700,2017-12-18,7.3000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600710.SH,2016-10-31,True,1996-07-01,,False,,False,,,False,2016-03-29,9.3600,2017-07-31,7.5500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600732.SH,2016-10-31,True,1996-08-16,,False,,False,,,False,2016-03-17,7.6700,2017-06-06,7.6500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000155.SZ,2016-11-30,True,2000-09-26,,False,,False,,,False,2016-04-25,10.2700,2017-12-18,7.3000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600710.SH,2016-11-30,True,1996-07-01,,False,,False,,,False,2016-03-29,9.3600,2017-07-31,7.5500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600732.SH,2016-11-30,True,1996-08-16,,False,,False,,,False,2016-03-17,7.6700,2017-06-06,7.6500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000155.SZ,2016-12-30,True,2000-09-26,,False,,False,,,False,2016-04-25,10.2700,2017-12-18,7.3000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600710.SH,2016-12-30,True,1996-07-01,,False,,False,,,False,2016-03-29,9.3600,2017-07-31,7.5500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600732.SH,2016-12-30,True,1996-08-16,,False,,False,,,False,2016-03-17,7.6700,2017-06-06,7.6500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000155.SZ,2017-01-26,True,2000-09-26,,False,,False,,,False,2016-04-25,10.2700,2017-12-18,7.3000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600710.SH,2017-01-26,True,1996-07-01,,False,,False,,,False,2016-03-29,9.3600,2017-07-31,7.5500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600732.SH,2017-01-26,True,1996-08-16,,False,,False,,,False,2016-03-17,7.6700,2017-06-06,7.6500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
000155.SZ,2017-02-28,True,2000-09-26,,False,,False,,,False,2016-04-25,10.2700,2017-12-18,7.3000,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
600710.SH,2017-02-28,True,1996-07-01,,False,,False,,,False,2016-03-29,9.3600,2017-07-31,7.5500,False,False,UNEXPLAINED_EXACT_DATE_GAP,DATA_MISSING_CLOSE
