ts_code,list_date,first_eff
000035.SZ,1994-04-08,2025-04-01
000156.SZ,2000-09-06,2025-04-01
000301.SZ,2000-05-29,2025-04-01
000498.SZ,1997-06-09,2025-04-01
000547.SZ,1993-11-30,2025-04-01
000603.SZ,1996-08-23,2025-04-01
000620.SZ,1996-10-29,2025-04-01
000670.SZ,1996-12-17,2025-04-01
000681.SZ,1997-01-21,2025-04-01
000813.SZ,1998-05-19,2025-04-01
000820.SZ,1998-06-30,2025-04-01
000863.SZ,1997-09-25,2025-04-01
000908.SZ,1999-02-03,2025-04-01
001267.SZ,2021-11-17,2025-04-01
002019.SZ,2004-07-13,2025-04-01
002027.SZ,2004-08-04,2025-04-01
002127.SZ,2007-04-18,2025-04-01
002270.SZ,2008-09-05,2025-04-01
002323.SZ,2009-12-18,2025-04-01
002343.SZ,2010-01-26,2025-04-01
002366.SZ,2010-03-12,2025-04-01
002468.SZ,2010-09-08,2025-04-01
002517.SZ,2010-12-07,2025-04-01
002558.SZ,2011-03-02,2025-04-01
002581.SZ,2011-05-20,2025-04-01
002600.SZ,2011-07-15,2025-04-01
002607.SZ,2011-08-10,2025-04-01
002694.SZ,2012-08-16,2025-04-01
300442.SZ,2015-04-24,2025-04-01
600097.SH,1997-06-19,2025-04-01
600179.SH,1998-11-04,2025-04-01
600217.SH,1999-12-16,2025-04-01
600233.SH,2000-06-08,2025-04-01
600398.SH,2000-12-28,2025-04-01
600483.SH,2004-05-31,2025-04-01
600566.SH,2001-08-22,2025-04-01
600567.SH,2001-12-18,2025-04-01
600603.SH,1992-01-13,2025-04-01
600629.SH,1993-02-09,2025-04-01
600666.SH,1993-07-12,2025-04-01
600681.SH,1993-10-18,2025-04-01
600862.SH,1994-05-20,2025-04-01
600938.SH,2022-04-21,2025-04-01
600941.SH,2022-01-05,2025-04-01
601360.SH,2012-01-16,2017-01-01
601865.SH,2019-02-15,2025-04-01
603507.SH,2017-11-06,2025-04-01
603535.SH,2017-08-08,2025-04-01
603993.SH,2012-10-09,2025-04-01
688235.SH,2021-12-15,2025-04-01
688347.SH,2023-08-07,2025-04-01
688396.SH,2020-02-27,2025-04-01
688428.SH,2022-09-21,2025-04-01
688525.SH,2022-12-30,2025-04-01
688728.SH,2021-08-18,2025-04-01
688981.SH,2020-07-16,2025-04-01
689009.SH,2020-10-29,2025-04-01
