ts_code,list_date,first_eff
000032.SZ,1993-10-28,2025-04-01
000035.SZ,1994-04-08,2025-04-01
000036.SZ,1994-06-17,2025-04-01
000060.SZ,1997-01-23,2025-04-01
000061.SZ,1997-01-10,2025-04-01
000065.SZ,1998-06-05,2025-04-01
000100.SZ,2004-01-30,2025-04-01
000156.SZ,2000-09-06,2025-04-01
000301.SZ,2000-05-29,2025-04-01
000403.SZ,1996-06-28,2025-04-01
000410.SZ,1996-07-18,2025-04-01
000411.SZ,1996-07-16,2025-04-01
000430.SZ,1996-08-29,2025-04-01
000498.SZ,1997-06-09,2025-04-01
000547.SZ,1993-11-30,2025-04-01
000551.SZ,1994-01-06,2025-04-01
000561.SZ,1994-05-09,2025-04-01
000582.SZ,1995-11-02,2025-04-01
000599.SZ,1996-04-30,2025-04-01
000603.SZ,1996-08-23,2025-04-01
000615.SZ,1996-10-16,2025-04-01
000620.SZ,1996-10-29,2025-04-01
000635.SZ,1996-11-20,2025-04-01
000656.SZ,1996-11-28,2025-04-01
000670.SZ,1996-12-17,2025-04-01
000681.SZ,1997-01-21,2025-04-01
000688.SZ,1997-01-20,2025-04-01
000691.SZ,1997-02-28,2025-04-01
000697.SZ,1997-03-25,2025-04-01
000707.SZ,1997-04-15,2025-04-01
000713.SZ,1997-04-22,2025-04-01
000715.SZ,1997-05-08,2025-04-01
000811.SZ,1998-05-28,2025-04-01
000813.SZ,1998-05-19,2025-04-01
000820.SZ,1998-06-30,2025-04-01
000863.SZ,1997-09-25,2025-04-01
000878.SZ,1998-06-02,2025-04-01
000880.SZ,1998-04-02,2025-04-01
000883.SZ,1998-05-19,2025-04-01
000905.SZ,1999-04-29,2025-04-01
000908.SZ,1999-02-03,2025-04-01
000958.SZ,1999-12-23,2025-04-01
000973.SZ,2000-05-25,2025-04-01
000998.SZ,2000-12-11,2025-04-01
000999.SZ,2000-03-09,2025-04-01
001202.SZ,2021-04-29,2025-04-01
001207.SZ,2021-06-23,2025-04-01
001208.SZ,2021-06-24,2025-04-01
001210.SZ,2021-07-29,2025-04-01
001212.SZ,2021-08-23,2025-04-01
001216.SZ,2021-10-19,2025-04-01
001223.SZ,2022-12-12,2025-04-01
001255.SZ,2022-09-30,2025-04-01
001267.SZ,2021-11-17,2025-04-01
001282.SZ,2023-05-24,2025-04-01
001283.SZ,2022-09-05,2025-04-01
001288.SZ,2021-11-01,2025-04-01
001298.SZ,2022-10-31,2025-04-01
001299.SZ,2022-10-31,2025-04-01
