ts_code,list_date,delist_date,listing_status_at_data_end,in_pool_2023_any,in_pool_2023_12,affected_months_all,affected_months_required,affected_months_2023,first_affected_formation,last_affected_formation,csmar_latest_a003101000,anchor_2025_shares,implied_par,note,priority_rank
000035.SZ,1994-04-08,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,356180613.0,2500783182.0,0.1424,,1
000156.SZ,2000-09-06,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,1961610321.78,1852932442.0,1.0587,,2
000301.SZ,2000-05-29,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,9599622466.16,6611222758.0,1.452,,3
000498.SZ,1997-06-09,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,2152525402.33,1560998221.0,1.3789,,4
000547.SZ,1993-11-30,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,358376900.0,1598468269.0,0.2242,,5
000603.SZ,1996-08-23,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,128674022.0,689969346.0,0.1865,,6
000620.SZ,1996-10-29,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,1658877225.0,5871815040.0,0.2825,,7
000681.SZ,1997-01-21,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,73892895.0,700577436.0,0.1055,,8
000813.SZ,1998-05-19,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,869084133.0,2164955990.0,0.4014,,9
000820.SZ,1998-06-30,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,97565933.0,643620201.0,0.1516,,10
000863.SZ,1997-09-25,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,677734146.0,1180699560.0,0.574,,11
000908.SZ,1999-02-03,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,416689834.0,879774351.0,0.4736,,12
002019.SZ,2004-07-13,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,1036683702.68,1216390085.0,0.8523,,13
002027.SZ,2004-08-04,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,328300769.56,14442199726.0,0.0227,,14
002127.SZ,2007-04-18,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,417326994.0,2454870403.0,0.17,,15
002270.SZ,2008-09-05,,ACTIVE,True,True,128,120,12,2013-05-31,2023-12-29,227247078.0,896225431.0,0.2536,,16
