ts_code,formation_date,required_formation,list_date,delist_date,raw_close,close_source,selected_share_effective_date,selected_share_known_date,selected_total_shares,reason_code
000035.SZ,2013-05-31,False,1994-04-08,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
000156.SZ,2013-05-31,False,2000-09-06,,17.87,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000301.SZ,2013-05-31,False,2000-05-29,,3.27,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000498.SZ,2013-05-31,False,1997-06-09,,5.37,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000547.SZ,2013-05-31,False,1993-11-30,,3.72,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000603.SZ,2013-05-31,False,1996-08-23,,16.5,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000620.SZ,2013-05-31,False,1996-10-29,,5.36,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000670.SZ,2013-05-31,False,1996-12-17,,14.24,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000681.SZ,2013-05-31,False,1997-01-21,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
000813.SZ,2013-05-31,False,1998-05-19,,9.66,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000820.SZ,2013-05-31,False,1998-06-30,,12.7,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000863.SZ,2013-05-31,False,1997-09-25,,6.29,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000908.SZ,2013-05-31,False,1999-02-03,,7.71,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002019.SZ,2013-05-31,False,2004-07-13,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
002027.SZ,2013-05-31,False,2004-08-04,,4.3,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002127.SZ,2013-05-31,False,2007-04-18,,3.76,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002270.SZ,2013-05-31,False,2008-09-05,,6.49,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002323.SZ,2013-05-31,False,2009-12-18,,14.17,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002343.SZ,2013-05-31,False,2010-01-26,,8.99,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002366.SZ,2013-05-31,False,2010-03-12,,8.4,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002468.SZ,2013-05-31,False,2010-09-08,,7.49,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002517.SZ,2013-05-31,False,2010-12-07,,10.69,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002558.SZ,2013-05-31,False,2011-03-02,,24.36,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002581.SZ,2013-05-31,False,2011-05-20,,12.75,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002600.SZ,2013-05-31,False,2011-07-15,,11.69,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002607.SZ,2013-05-31,False,2011-08-10,,9.89,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002694.SZ,2013-05-31,False,2012-08-16,,12.42,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600097.SH,2013-05-31,False,1997-06-19,,12.64,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600179.SH,2013-05-31,False,1998-11-04,,6.01,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600217.SH,2013-05-31,False,1999-12-16,,5.78,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600233.SH,2013-05-31,False,2000-06-08,,12.93,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600398.SH,2013-05-31,False,2000-12-28,,3.67,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600483.SH,2013-05-31,False,2004-05-31,,5.44,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600566.SH,2013-05-31,False,2001-08-22,,8.15,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600567.SH,2013-05-31,False,2001-12-18,,2.59,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600603.SH,2013-05-31,False,1992-01-13,,5.62,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600629.SH,2013-05-31,False,1993-02-09,,8.11,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600666.SH,2013-05-31,False,1993-07-12,,7.51,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600681.SH,2013-05-31,False,1993-10-18,,4.69,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
600862.SH,2013-05-31,False,1994-05-20,,3.61,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
601360.SH,2013-05-31,False,2012-01-16,,8.44,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
603993.SH,2013-05-31,False,2012-10-09,,9.1,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000035.SZ,2013-06-28,False,1994-04-08,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
000156.SZ,2013-06-28,False,2000-09-06,,16.1,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000301.SZ,2013-06-28,False,2000-05-29,,2.72,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000498.SZ,2013-06-28,False,1997-06-09,,3.78,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000547.SZ,2013-06-28,False,1993-11-30,,3.05,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000603.SZ,2013-06-28,False,1996-08-23,,12.78,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000620.SZ,2013-06-28,False,1996-10-29,,4.73,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000670.SZ,2013-06-28,False,1996-12-17,,11.95,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000681.SZ,2013-06-28,False,1997-01-21,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
000813.SZ,2013-06-28,False,1998-05-19,,9.0,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000820.SZ,2013-06-28,False,1998-06-30,,8.49,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000863.SZ,2013-06-28,False,1997-09-25,,5.81,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
000908.SZ,2013-06-28,False,1999-02-03,,7.36,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002019.SZ,2013-06-28,False,2004-07-13,,,SUSPENDED_CARRY_FORWARD,,,,DATA_MISSING_SHARES
002027.SZ,2013-06-28,False,2004-08-04,,3.41,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002127.SZ,2013-06-28,False,2007-04-18,,2.95,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002270.SZ,2013-06-28,False,2008-09-05,,5.27,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002323.SZ,2013-06-28,False,2009-12-18,,10.9,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002343.SZ,2013-06-28,False,2010-01-26,,6.9,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002366.SZ,2013-06-28,False,2010-03-12,,6.9,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002468.SZ,2013-06-28,False,2010-09-08,,6.06,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002517.SZ,2013-06-28,False,2010-12-07,,11.26,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002558.SZ,2013-06-28,False,2011-03-02,,22.97,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
002581.SZ,2013-06-28,False,2011-05-20,,9.88,EXACT_FORMATION_CLOSE,,,,DATA_MISSING_SHARES
