ts_code,list_date,csmar_latest_a003101000,anchor_2025_shares,implied_par,note
688428.SH,2022-09-21,23399.72,1762567202.0,0.0000,
688728.SH,2021-08-18,200434.0,2600586667.0,0.0001,
689009.SH,2020-10-29,48051.04,717301020.0,0.0001,
688235.SH,2021-12-15,938000.0,1401579798.0,0.0007,
002607.SZ,2011-08-10,103807623.0,6167399389.0,0.0168,
002027.SZ,2004-08-04,328300769.56,14442199726.0,0.0227,
688981.SH,2020-07-16,226512000.0,7981802488.0,0.0284,
000681.SZ,1997-01-21,73892895.0,700577436.0,0.1055,
002366.SZ,2010-03-12,253556828.0,2080937640.0,0.1218,
000035.SZ,1994-04-08,356180613.0,2500783182.0,0.1424,
000820.SZ,1998-06-30,97565933.0,643620201.0,0.1516,
002127.SZ,2007-04-18,417326994.0,2454870403.0,0.1700,
000603.SZ,1996-08-23,128674022.0,689969346.0,0.1865,
600629.SH,1993-02-09,193823529.0,970362838.0,0.1997,
603993.SH,2012-10-09,4299848123.8,21499240619.0,0.2000,
000547.SZ,1993-11-30,358376900.0,1598468269.0,0.2242,
601865.SH,2019-02-15,585730034.75,2342920139.0,0.2500,
002600.SZ,2011-07-15,1756179160.91,7008177819.0,0.2506,
002270.SZ,2008-09-05,227247078.0,896225431.0,0.2536,
002468.SZ,2010-09-08,422012153.0,1530802166.0,0.2757,
000620.SZ,1996-10-29,1658877225.0,5871815040.0,0.2825,
600233.SH,2000-06-08,998191328.0,3446753438.0,0.2896,
600398.SH,2000-12-28,1478129432.0,4802770296.0,0.3078,
002581.SZ,2011-05-20,229145299.0,659735586.0,0.3473,
001267.SZ,2021-11-17,277351072.0,779571428.0,0.3558,
000670.SZ,1996-12-17,312952435.6,839489360.0,0.3728,
000813.SZ,1998-05-19,869084133.0,2164955990.0,0.4014,
000908.SZ,1999-02-03,416689834.0,879774351.0,0.4736,
600566.SH,2001-08-22,452685407.0,921704160.0,0.4911,
000863.SZ,1997-09-25,677734146.0,1180699560.0,0.5740,
600217.SH,1999-12-16,1107869537.0,1657653673.0,0.6683,
002517.SZ,2010-12-07,1499123086.0,2136443234.0,0.7017,
002323.SZ,2009-12-18,1495296796.0,2120855142.0,0.7050,
600681.SH,1993-10-18,990675141.0,1340854810.0,0.7388,
600567.SH,2001-12-18,4161094735.0,5471330563.0,0.7605,
002558.SZ,2011-03-02,1488527049.51,1934750611.0,0.7694,
600666.SH,1993-07-12,2294107827.0,2763512843.0,0.8301,
002019.SZ,2004-07-13,1036683702.68,1216390085.0,0.8523,
300442.SZ,2015-04-24,1541219310.02,1721481649.0,0.8953,
688396.SH,2020-02-27,1224524820.47,1327529398.0,0.9224,
002694.SZ,2012-08-16,718848000.0,763084800.0,0.9420,
601360.SH,2012-01-16,6999558000.0,6999557879.0,1.0000,
603535.SH,2017-08-08,345211435.0,345211435.0,1.0000,
688525.SH,2022-12-30,431240342.0,431240342.0,1.0000,
000156.SZ,2000-09-06,1961610321.78,1852932442.0,1.0587,
600862.SH,1994-05-20,1680185294.11,1393049107.0,1.2061,
603507.SH,2017-11-06,230642083.0,184301307.0,1.2514,
002343.SZ,2010-01-26,601572239.36,474949686.0,1.2666,
600603.SH,1992-01-13,1634509738.0,1193329151.0,1.3697,
000498.SZ,1997-06-09,2152525402.33,1560998221.0,1.3789,
000301.SZ,2000-05-29,9599622466.16,6611222758.0,1.4520,
600179.SH,1998-11-04,6330109638.98,4231526979.0,1.4959,
600938.SH,2022-04-21,75180000000.0,47529953984.0,1.5817,
600097.SH,1997-06-19,410000000.0,240936559.0,1.7017,
600483.SH,2004-05-31,5021006956.0,2780137800.0,1.8060,
688347.SH,2023-08-07,34065170085.55,1725067713.0,19.7471,
600941.SH,2022-01-05,465338000000.0,21564893225.0,21.5785,
