ts_code,effective_date,total_shares,par_value,available_date,source,quality_flag,updated_at
000035.SZ,2014-09-30,,,2014-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000156.SZ,2013-12-31,,,2014-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000156.SZ,2020-12-31,,,2021-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2021-09-30,,,2021-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2021-12-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2022-03-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2022-06-30,,,2022-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2022-09-30,,,2022-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2023-03-31,,,2023-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2023-06-30,,,2023-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000498.SZ,2021-12-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000498.SZ,2022-03-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000498.SZ,2022-06-30,,,2022-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000498.SZ,2022-09-30,,,2022-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000547.SZ,2014-06-30,,,2014-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000547.SZ,2023-03-31,,,2023-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000813.SZ,2023-06-30,,,2023-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000863.SZ,2015-06-30,,,2015-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000863.SZ,2016-06-30,,,2016-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000908.SZ,2014-12-31,,,2015-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000908.SZ,2015-03-31,,,2015-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000908.SZ,2016-06-30,,,2016-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
001267.SZ,2022-09-30,,,2022-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002019.SZ,2014-09-30,,,2014-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002019.SZ,2019-12-31,,,2020-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002019.SZ,2020-06-30,,,2020-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002019.SZ,2021-06-30,,,2021-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002027.SZ,2015-12-31,,,2016-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002027.SZ,2021-09-30,,,2021-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002270.SZ,2015-12-31,,,2016-04-29,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002270.SZ,2022-03-31,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
002468.SZ,2014-06-30,,,2014-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
