ts_code,effective_date,planned_action,reason,total_shares,available_date,source,old_total_shares,old_par_value,old_available_date,old_source,old_quality_flag,old_updated_at
000035.SZ,2013-05-31,INSERT,no canonical row for this key,188953707,2013-05-31,wind_total_shares_month_end,,,,,,
000035.SZ,2014-05-30,INSERT,no canonical row for this key,567104959,2014-05-30,wind_total_shares_month_end,,,,,,
000035.SZ,2014-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,619278871,2014-09-30,wind_total_shares_month_end,,,2014-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000035.SZ,2016-05-31,INSERT,no canonical row for this key,1238557742,2016-05-31,wind_total_shares_month_end,,,,,,
000035.SZ,2017-07-31,INSERT,no canonical row for this key,1351521423,2017-07-31,wind_total_shares_month_end,,,,,,
000035.SZ,2019-01-31,INSERT,no canonical row for this key,2438736365,2019-01-31,wind_total_shares_month_end,,,,,,
000035.SZ,2019-10-31,INSERT,no canonical row for this key,2523777297,2019-10-31,wind_total_shares_month_end,,,,,,
000156.SZ,2013-05-31,INSERT,no canonical row for this key,1097025730,2013-05-31,wind_total_shares_month_end,,,,,,
000156.SZ,2013-12-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1146680902,2013-12-31,wind_total_shares_month_end,,,2014-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000156.SZ,2015-05-29,INSERT,no canonical row for this key,1433351902,2015-05-29,wind_total_shares_month_end,,,,,,
000156.SZ,2020-12-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1852932442,2020-12-31,wind_total_shares_month_end,,,2021-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2013-05-31,INSERT,no canonical row for this key,1218236445,2013-05-31,wind_total_shares_month_end,,,,,,
000301.SZ,2018-08-31,INSERT,no canonical row for this key,4029053222,2018-08-31,wind_total_shares_month_end,,,,,,
000301.SZ,2020-07-31,INSERT,no canonical row for this key,4834863866,2020-07-31,wind_total_shares_month_end,,,,,,
000301.SZ,2021-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,4834903257,2021-09-30,wind_total_shares_month_end,,,2021-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2021-12-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,4834960195,2021-12-31,wind_total_shares_month_end,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2022-01-28,INSERT,no canonical row for this key,5946491119,2022-01-28,wind_total_shares_month_end,,,,,,
000301.SZ,2022-02-28,INSERT,no canonical row for this key,5946495968,2022-02-28,wind_total_shares_month_end,,,,,,
000301.SZ,2022-03-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,5946506551,2022-03-31,wind_total_shares_month_end,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2022-04-29,INSERT,no canonical row for this key,5946508904,2022-04-29,wind_total_shares_month_end,,,,,,
000301.SZ,2022-05-31,INSERT,no canonical row for this key,5946515062,2022-05-31,wind_total_shares_month_end,,,,,,
000301.SZ,2022-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,5946522007,2022-06-30,wind_total_shares_month_end,,,2022-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2022-07-29,INSERT,no canonical row for this key,6213237010,2022-07-29,wind_total_shares_month_end,,,,,,
000301.SZ,2022-09-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,6213245319,2022-09-30,wind_total_shares_month_end,,,2022-10-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2022-12-30,INSERT,no canonical row for this key,6611187669,2022-12-30,wind_total_shares_month_end,,,,,,
000301.SZ,2023-01-31,INSERT,no canonical row for this key,6611189232,2023-01-31,wind_total_shares_month_end,,,,,,
000301.SZ,2023-03-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,6611212402,2023-03-31,wind_total_shares_month_end,,,2023-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2023-06-30,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,6611212627,2023-06-30,wind_total_shares_month_end,,,2023-08-31,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000301.SZ,2023-09-28,INSERT,no canonical row for this key,6611213077,2023-09-28,wind_total_shares_month_end,,,,,,
000301.SZ,2023-12-29,INSERT,no canonical row for this key,6611213678,2023-12-29,wind_total_shares_month_end,,,,,,
000498.SZ,2013-05-31,INSERT,no canonical row for this key,1120139063,2013-05-31,wind_total_shares_month_end,,,,,,
000498.SZ,2020-09-30,INSERT,no canonical row for this key,1350773637,2020-09-30,wind_total_shares_month_end,,,,,,
000498.SZ,2020-11-30,INSERT,no canonical row for this key,1556959203,2020-11-30,wind_total_shares_month_end,,,,,,
000498.SZ,2021-04-30,INSERT,no canonical row for this key,1557016203,2021-04-30,wind_total_shares_month_end,,,,,,
000498.SZ,2021-10-29,INSERT,no canonical row for this key,1558028003,2021-10-29,wind_total_shares_month_end,,,,,,
000498.SZ,2021-12-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1558068503,2021-12-31,wind_total_shares_month_end,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
000498.SZ,2022-03-31,UPGRADE_PAR_UNKNOWN,empty par_unknown placeholder,1558689503,2022-03-31,wind_total_shares_month_end,,,2022-04-30,csmar_a003101000,par_unknown,2026-07-27 13:56:42.179781+08:00
