ts_code,effective_date,total_shares,par_value,available_date,source,quality_flag
000035.SZ,2013-05-31,188953707,,2013-05-31,wind_total_shares_month_end,
000035.SZ,2014-05-30,567104959,,2014-05-30,wind_total_shares_month_end,
000035.SZ,2014-09-30,619278871,,2014-09-30,wind_total_shares_month_end,
000035.SZ,2016-05-31,1238557742,,2016-05-31,wind_total_shares_month_end,
000035.SZ,2017-07-31,1351521423,,2017-07-31,wind_total_shares_month_end,
000035.SZ,2019-01-31,2438736365,,2019-01-31,wind_total_shares_month_end,
000035.SZ,2019-10-31,2523777297,,2019-10-31,wind_total_shares_month_end,
000156.SZ,2013-05-31,1097025730,,2013-05-31,wind_total_shares_month_end,
000156.SZ,2013-12-31,1146680902,,2013-12-31,wind_total_shares_month_end,
000156.SZ,2015-05-29,1433351902,,2015-05-29,wind_total_shares_month_end,
000156.SZ,2020-12-31,1852932442,,2020-12-31,wind_total_shares_month_end,
000301.SZ,2013-05-31,1218236445,,2013-05-31,wind_total_shares_month_end,
000301.SZ,2018-08-31,4029053222,,2018-08-31,wind_total_shares_month_end,
000301.SZ,2020-07-31,4834863866,,2020-07-31,wind_total_shares_month_end,
000301.SZ,2021-09-30,4834903257,,2021-09-30,wind_total_shares_month_end,
000301.SZ,2021-12-31,4834960195,,2021-12-31,wind_total_shares_month_end,
000301.SZ,2022-01-28,5946491119,,2022-01-28,wind_total_shares_month_end,
000301.SZ,2022-02-28,5946495968,,2022-02-28,wind_total_shares_month_end,
000301.SZ,2022-03-31,5946506551,,2022-03-31,wind_total_shares_month_end,
000301.SZ,2022-04-29,5946508904,,2022-04-29,wind_total_shares_month_end,
000301.SZ,2022-05-31,5946515062,,2022-05-31,wind_total_shares_month_end,
000301.SZ,2022-06-30,5946522007,,2022-06-30,wind_total_shares_month_end,
000301.SZ,2022-07-29,6213237010,,2022-07-29,wind_total_shares_month_end,
000301.SZ,2022-09-30,6213245319,,2022-09-30,wind_total_shares_month_end,
000301.SZ,2022-12-30,6611187669,,2022-12-30,wind_total_shares_month_end,
000301.SZ,2023-01-31,6611189232,,2023-01-31,wind_total_shares_month_end,
000301.SZ,2023-03-31,6611212402,,2023-03-31,wind_total_shares_month_end,
000301.SZ,2023-06-30,6611212627,,2023-06-30,wind_total_shares_month_end,
000301.SZ,2023-09-28,6611213077,,2023-09-28,wind_total_shares_month_end,
000301.SZ,2023-12-29,6611213678,,2023-12-29,wind_total_shares_month_end,
000498.SZ,2013-05-31,1120139063,,2013-05-31,wind_total_shares_month_end,
000498.SZ,2020-09-30,1350773637,,2020-09-30,wind_total_shares_month_end,
000498.SZ,2020-11-30,1556959203,,2020-11-30,wind_total_shares_month_end,
000498.SZ,2021-04-30,1557016203,,2021-04-30,wind_total_shares_month_end,
000498.SZ,2021-10-29,1558028003,,2021-10-29,wind_total_shares_month_end,
000498.SZ,2021-12-31,1558068503,,2021-12-31,wind_total_shares_month_end,
000498.SZ,2022-03-31,1558689503,,2022-03-31,wind_total_shares_month_end,
000498.SZ,2022-04-29,1560031803,,2022-04-29,wind_total_shares_month_end,
000498.SZ,2022-06-30,1560566803,,2022-06-30,wind_total_shares_month_end,
000498.SZ,2022-09-30,1560629303,,2022-09-30,wind_total_shares_month_end,
000498.SZ,2023-01-31,1560629304,,2023-01-31,wind_total_shares_month_end,
000498.SZ,2023-02-28,1560987803,,2023-02-28,wind_total_shares_month_end,
000498.SZ,2023-12-29,1560993456,,2023-12-29,wind_total_shares_month_end,
000547.SZ,2013-05-31,834878240,,2013-05-31,wind_total_shares_month_end,
000547.SZ,2014-06-30,948585586,,2014-06-30,wind_total_shares_month_end,
000547.SZ,2015-07-31,1429628897,,2015-07-31,wind_total_shares_month_end,
000547.SZ,2018-12-28,1565247615,,2018-12-28,wind_total_shares_month_end,
000547.SZ,2019-01-31,1605678881,,2019-01-31,wind_total_shares_month_end,
000547.SZ,2020-08-31,1605421646,,2020-08-31,wind_total_shares_month_end,
000547.SZ,2021-08-31,1603685112,,2021-08-31,wind_total_shares_month_end,
000547.SZ,2023-03-31,1598468269,,2023-03-31,wind_total_shares_month_end,
000603.SZ,2013-05-31,504988667,,2013-05-31,wind_total_shares_month_end,
000603.SZ,2016-07-29,722625223,,2016-07-29,wind_total_shares_month_end,
000603.SZ,2018-01-31,689969346,,2018-01-31,wind_total_shares_month_end,
000620.SZ,2013-05-31,1597970649,,2013-05-31,wind_total_shares_month_end,
000620.SZ,2015-04-30,1896690420,,2015-04-30,wind_total_shares_month_end,
000620.SZ,2023-12-29,5871815040,,2023-12-29,wind_total_shares_month_end,
000670.SZ,2013-05-31,272209120,,2013-05-31,wind_total_shares_month_end,
000670.SZ,2014-07-31,816627360,,2014-07-31,wind_total_shares_month_end,
000670.SZ,2023-12-29,849287360,,2023-12-29,wind_total_shares_month_end,
000681.SZ,2013-05-31,198750000,,2013-05-31,wind_total_shares_month_end,
000681.SZ,2014-04-30,669986736,,2014-04-30,wind_total_shares_month_end,
000681.SZ,2015-07-31,700577436,,2015-07-31,wind_total_shares_month_end,
000813.SZ,2013-05-31,363456000,,2013-05-31,wind_total_shares_month_end,
000813.SZ,2013-11-29,467495367,,2013-11-29,wind_total_shares_month_end,
000813.SZ,2016-10-31,1342664265,,2016-10-31,wind_total_shares_month_end,
000813.SZ,2016-12-30,1494321200,,2016-12-30,wind_total_shares_month_end,
000813.SZ,2017-05-31,2241481800,,2017-05-31,wind_total_shares_month_end,
000813.SZ,2022-01-28,2234788132,,2022-01-28,wind_total_shares_month_end,
000813.SZ,2022-02-28,2232788132,,2022-02-28,wind_total_shares_month_end,
000813.SZ,2022-11-30,2226394464,,2022-11-30,wind_total_shares_month_end,
000813.SZ,2023-06-30,2173480882,,2023-06-30,wind_total_shares_month_end,
000813.SZ,2023-09-28,2164955990,,2023-09-28,wind_total_shares_month_end,
000820.SZ,2013-05-31,287834760,,2013-05-31,wind_total_shares_month_end,
000820.SZ,2016-10-31,637245222,,2016-10-31,wind_total_shares_month_end,
000863.SZ,2013-05-31,738690925,,2013-05-31,wind_total_shares_month_end,
000863.SZ,2014-11-28,928481910,,2014-11-28,wind_total_shares_month_end,
000863.SZ,2015-06-30,956481910,,2015-06-30,wind_total_shares_month_end,
000863.SZ,2016-06-30,1388789602,,2016-06-30,wind_total_shares_month_end,
000863.SZ,2016-08-31,1382986746,,2016-08-31,wind_total_shares_month_end,
000863.SZ,2017-08-31,1381752594,,2017-08-31,wind_total_shares_month_end,
000863.SZ,2018-07-31,1371271098,,2018-07-31,wind_total_shares_month_end,
000863.SZ,2020-07-31,1225208160,,2020-07-31,wind_total_shares_month_end,
000863.SZ,2022-05-31,1204370460,,2022-05-31,wind_total_shares_month_end,
000863.SZ,2023-05-31,1180699560,,2023-05-31,wind_total_shares_month_end,
000908.SZ,2013-05-31,280000000,,2013-05-31,wind_total_shares_month_end,
000908.SZ,2014-12-31,738509772,,2014-12-31,wind_total_shares_month_end,
000908.SZ,2015-03-31,799794865,,2015-03-31,wind_total_shares_month_end,
000908.SZ,2016-06-30,879774351,,2016-06-30,wind_total_shares_month_end,
001267.SZ,2022-05-31,700000000,,2022-05-31,wind_total_shares_month_end,
001267.SZ,2022-09-30,775446428,,2022-09-30,wind_total_shares_month_end,
001267.SZ,2023-05-31,779671428,,2023-05-31,wind_total_shares_month_end,
002019.SZ,2013-05-31,220420000,,2013-05-31,wind_total_shares_month_end,
002019.SZ,2014-09-30,440319243,,2014-09-30,wind_total_shares_month_end,
002019.SZ,2016-05-31,1100798107,,2016-05-31,wind_total_shares_month_end,
002019.SZ,2017-08-31,1206974577,,2017-08-31,wind_total_shares_month_end,
002019.SZ,2019-06-28,1230904577,,2019-06-28,wind_total_shares_month_end,
002019.SZ,2019-12-31,1236904577,,2019-12-31,wind_total_shares_month_end,
002019.SZ,2020-06-30,1234677077,,2020-06-30,wind_total_shares_month_end,
002019.SZ,2021-06-30,1234106077,,2021-06-30,wind_total_shares_month_end,
002019.SZ,2022-07-29,1226024827,,2022-07-29,wind_total_shares_month_end,
002027.SZ,2013-05-31,302335116,,2013-05-31,wind_total_shares_month_end,
002027.SZ,2015-12-31,4115891498,,2015-12-31,wind_total_shares_month_end,
002027.SZ,2016-04-29,4368416750,,2016-04-29,wind_total_shares_month_end,
002027.SZ,2016-06-30,8736833500,,2016-06-30,wind_total_shares_month_end,
002027.SZ,2017-07-31,12231566900,,2017-07-31,wind_total_shares_month_end,
002027.SZ,2018-06-29,14677880280,,2018-06-29,wind_total_shares_month_end,
002027.SZ,2021-09-30,14442199726,,2021-09-30,wind_total_shares_month_end,
002127.SZ,2013-05-31,446458902,,2013-05-31,wind_total_shares_month_end,
002127.SZ,2016-01-29,769129766,,2016-01-29,wind_total_shares_month_end,
002127.SZ,2016-05-31,1538259532,,2016-05-31,wind_total_shares_month_end,
002127.SZ,2017-10-31,1636580269,,2017-10-31,wind_total_shares_month_end,
002127.SZ,2018-05-31,2454870403,,2018-05-31,wind_total_shares_month_end,
002270.SZ,2013-05-31,189150000,,2013-05-31,wind_total_shares_month_end,
002270.SZ,2015-12-31,469927537,,2015-12-31,wind_total_shares_month_end,
002270.SZ,2016-01-29,506159420,,2016-01-29,wind_total_shares_month_end,
002270.SZ,2018-06-29,759239130,,2018-06-29,wind_total_shares_month_end,
002270.SZ,2022-03-31,896225431,,2022-03-31,wind_total_shares_month_end,
002323.SZ,2013-05-31,107588000,,2013-05-31,wind_total_shares_month_end,
