ts_code,formation_date,total_shares,mkt_cap_ard,close,implied_shares,relative_error,is_target_coordinate,cdr_unit_ratio,proposed_shares,cross_field_tier,cross_field_evidence
000035.SZ,2013-05-31,188953707,2314682910.75,12.25,188953707.0,0.0,True,1,188953707,CROSS_FIELD_EXACT,relative_error=0.000e+3
000035.SZ,2013-06-28,188953707,2314682910.75,12.25,188953707.0,0.0,True,1,188953707,CROSS_FIELD_EXACT,relative_error=0.000e+3
000035.SZ,2013-07-31,188953707,2314682910.75,12.25,188953707.0,0.0,True,1,188953707,CROSS_FIELD_EXACT,relative_error=0.000e+3
000035.SZ,2013-08-30,188953707,2314682910.75,12.25,188953707.0,0.0,True,1,188953707,CROSS_FIELD_EXACT,relative_error=0.000e+3
000035.SZ,2013-09-30,188953707,1942444107.9599998,10.28,188953707.0,4.0895843852787546e-17,True,1,188953707,CROSS_FIELD_EXACT,relative_error=4.090e-17
000035.SZ,2013-10-31,188953707,2155961796.87,11.41,188953707.0,6.553588053120226e-17,True,1,188953707,CROSS_FIELD_EXACT,relative_error=6.554e-17
000035.SZ,2013-11-29,188953707,2146514111.52,11.36,188953707.0,4.115242491108397e-17,True,1,188953707,CROSS_FIELD_EXACT,relative_error=4.115e-17
000035.SZ,2013-12-31,188953707,2014246516.6200001,10.66,188953707.0,4.8219383054977567e-17,True,1,188953707,CROSS_FIELD_EXACT,relative_error=4.822e-17
000035.SZ,2014-01-30,188953707,2031252350.25,10.75,188953707.0,0.0,True,1,188953707,CROSS_FIELD_EXACT,relative_error=0.000e+3
000035.SZ,2014-02-28,188953707,2152182722.73,11.39,188953707.0,4.104403397628743e-17,True,1,188953707,CROSS_FIELD_EXACT,relative_error=4.104e-17
000035.SZ,2014-03-31,188953707,2284450317.63,12.09,188953707.0,6.184982604309494e-17,True,1,188953707,CROSS_FIELD_EXACT,relative_error=6.185e-17
000035.SZ,2014-04-30,188953707,2074711702.8600001,10.98,188953707.0,2.5525760461849175e-17,True,1,188953707,CROSS_FIELD_EXACT,relative_error=2.553e-17
000035.SZ,2014-05-30,567104959,5960273119.09,10.51,567104959.0,4.588272682645911e-17,True,1,567104959,CROSS_FIELD_EXACT,relative_error=4.588e-17
000035.SZ,2014-06-30,567104959,6221141400.2300005,10.97,567104959.0,2.1419472381457528e-17,True,1,567104959,CROSS_FIELD_EXACT,relative_error=2.142e-17
000035.SZ,2014-07-31,567104959,6391272887.929999,11.27,567104959.0,6.363789449606693e-17,True,1,567104959,CROSS_FIELD_EXACT,relative_error=6.364e-17
000035.SZ,2014-08-29,567104959,6379930788.75,11.25,567104959.0,0.0,True,1,567104959,CROSS_FIELD_EXACT,relative_error=0.000e+3
000035.SZ,2014-09-30,619278871,7982504647.190001,12.89,619278871.0,2.2804663783386353e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=2.280e-17
000035.SZ,2014-10-31,619278871,8186866674.620001,13.22,619278871.0,5.413691503400261e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=5.414e-17
000035.SZ,2014-11-28,619278871,8409807068.18,13.58,619278871.0,3.105581005755997e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=3.106e-17
000035.SZ,2014-12-31,619278871,7827684929.440001,12.64,619278871.0,2.3255705393026115e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=2.326e-17
000035.SZ,2015-01-30,619278871,7827684929.440001,12.64,619278871.0,2.3255705393026115e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=2.326e-17
000035.SZ,2015-02-27,619278871,8335493603.660001,13.46,619278871.0,3.275840819106799e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=3.276e-17
000035.SZ,2015-03-31,619278871,11444273536.08,18.48,619278871.0,2.973613014044798e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=2.974e-17
000035.SZ,2015-04-30,619278871,10719717257.009998,17.31,619278871.0,8.269093203345056e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=8.269e-17
000035.SZ,2015-05-29,619278871,11846804802.23,19.13,619278871.0,1.3359726546138454e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=1.336e-17
000035.SZ,2015-06-30,619278871,14509703947.53,23.43,619278871.0,5.945366991714928e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=5.945e-17
000035.SZ,2015-07-31,619278871,9679328753.73,15.63,619278870.9999999,9.729912159773651e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=9.730e-17
000035.SZ,2015-08-31,619278871,8174481097.2,13.2,619278871.0,3.049603234178437e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=3.050e-17
000035.SZ,2015-09-30,619278871,7939155126.22,12.82,619278871.0,1.1464591114190722e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=1.146e-17
000035.SZ,2015-10-30,619278871,9109592192.41,14.71,619278871.0,7.471430115506169e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=7.471e-17
000035.SZ,2015-11-30,619278871,9790798950.51,15.81,619278871.0,8.082592309539172e-18,True,1,619278871,CROSS_FIELD_EXACT,relative_error=8.083e-18
000035.SZ,2015-12-31,619278871,9505930669.85,15.35,619278871.0,6.32743703959051e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=6.327e-17
000035.SZ,2016-01-29,619278871,9505930669.85,15.35,619278871.0,6.32743703959051e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=6.327e-17
000035.SZ,2016-02-29,619278871,6768718060.03,10.93,619278871.0,1.3447031846653711e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=1.345e-17
000035.SZ,2016-03-31,619278871,8143517153.650001,13.15,619278871.0,4.324820978445547e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=4.325e-17
000035.SZ,2016-04-29,619278871,8001083013.32,12.92,619278871.0,3.264225236700189e-17,True,1,619278871,CROSS_FIELD_EXACT,relative_error=3.264e-17
000035.SZ,2016-05-31,1238557742,8484120532.7,6.85,1238557742.0,2.9383038460697346e-17,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=2.938e-17
000035.SZ,2016-06-30,1238557742,8756603235.94,7.07,1238557742.0,2.0788692798292087e-17,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=2.079e-17
000035.SZ,2016-07-29,1238557742,8298336871.400001,6.7,1238557742.0,4.244134019892459e-17,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=4.244e-17
000035.SZ,2016-08-31,1238557742,8768988813.36,7.08,1238557742.0,5.956750008215599e-17,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=5.957e-17
000035.SZ,2016-09-30,1238557742,9462581148.88,7.64,1238557742.0,4.683835188151273e-17,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=4.684e-17
000035.SZ,2016-10-31,1238557742,9214869600.48,7.44,1238557741.9999998,1.0220331119439663e-16,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=1.022e-16
000035.SZ,2016-11-30,1238557742,10057088865.039999,8.12,1238557742.0,2.3633341958264474e-18,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=2.363e-18
000035.SZ,2016-12-30,1238557742,9115784981.12,7.36,1238557742.0,4.8620245703092016e-17,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=4.862e-17
000035.SZ,2017-01-26,1238557742,9041471516.6,7.3,1238557742.0,6.652476613542076e-17,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=6.652e-17
000035.SZ,2017-02-28,1238557742,9536894613.4,7.7,1238557742.0,6.306893412838591e-17,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=6.307e-17
000035.SZ,2017-03-31,1238557742,9561665768.24,7.72,1238557742.0,8.276281373951703e-18,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=8.276e-18
000035.SZ,2017-04-28,1238557742,9041471516.6,7.3,1238557742.0,6.652476613542076e-17,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=6.652e-17
000035.SZ,2017-05-31,1238557742,8397421490.76,6.78,1238557742.0,9.423730413998105e-18,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=9.424e-18
000035.SZ,2017-06-30,1238557742,8719446503.68,7.04,1238557742.0,2.995297589358412e-17,True,1,1238557742,CROSS_FIELD_EXACT,relative_error=2.995e-17
000035.SZ,2017-07-31,1351521423,8717313178.35,6.45,1351521423.0,1.6219595572114278e-17,True,1,1351521423,CROSS_FIELD_EXACT,relative_error=1.622e-17
000035.SZ,2017-08-31,1351521423,9082223962.56,6.72,1351521423.0,2.179508155002856e-17,True,1,1351521423,CROSS_FIELD_EXACT,relative_error=2.180e-17
000035.SZ,2017-09-29,1351521423,9082223962.56,6.72,1351521423.0,2.179508155002856e-17,True,1,1351521423,CROSS_FIELD_EXACT,relative_error=2.180e-17
000035.SZ,2017-10-31,1351521423,9082223962.56,6.72,1351521423.0,2.179508155002856e-17,True,1,1351521423,CROSS_FIELD_EXACT,relative_error=2.180e-17
