开始日期,2026-05-15,,,,,
截止日期,2026-06-16,,,,,
证券代码,000300.SH,,,,,
证券简称,沪深300,,,,,
日期,开盘价,最高价,最低价,收盘价,成交量,"成交额
[单位]元"
Date,open,high,low,close,volume,amt
2026-05-15,4911.6223,4935.6173,4832.6899,4859.5927,27696776900.0000,887687426985.0000
2026-05-18,4836.3286,4868.6008,4806.1455,4833.5237,23907758700.0000,733452822624.0000
2026-05-19,4818.7051,4854.5247,4773.5340,4852.8832,23228085200.0000,712401049985.0000
2026-05-20,4829.6129,4866.2121,4825.6430,4850.7000,22002320600.0000,729653332839.0000
2026-05-21,4886.2389,4937.9327,4780.7107,4783.0976,28734250700.0000,891936347970.0000
2026-05-22,4818.8435,4851.3489,4785.3486,4845.0956,28694043500.0000,771823300851.0000
2026-05-25,4873.1962,4922.4375,4857.1345,4921.5974,26474323600.0000,861179421900.0000
2026-05-26,4900.1152,4952.7412,4892.6830,4947.8493,30279947600.0000,899094487857.0000
2026-05-27,4940.9454,4974.2108,4891.3428,4908.1714,30170917500.0000,909011906950.0000
2026-05-28,4889.2659,4922.3297,4843.2265,4914.2133,26743273100.0000,819897918903.0000
2026-05-29,4937.5119,4954.0703,4878.7869,4892.1213,33251861000.0000,942236490058.0000
2026-06-01,4897.8968,4918.7935,4836.6851,4844.2556,29613405100.0000,823984849000.0000
2026-06-02,4860.6119,4930.2776,4831.9972,4914.5591,28173166200.0000,806751344395.0000
2026-06-03,4921.3445,4991.8525,4904.8969,4938.8091,30403594700.0000,906047729419.0000
2026-06-04,4897.3164,4938.7814,4889.7456,4904.7454,26480891000.0000,736143410003.0000
2026-06-05,4886.9645,4924.3438,4798.9103,4816.9199,30192933600.0000,839863796396.0000
2026-06-08,4703.7730,4779.8623,4677.5682,4713.6358,29964756500.0000,761046395166.0000
2026-06-09,4743.4505,4802.5047,4715.3907,4801.8106,25839160100.0000,713286998821.0000
2026-06-10,4753.1154,4786.5162,4718.9946,4748.5932,25929710900.0000,694628416057.0000
2026-06-11,4730.0720,4766.1728,4685.5014,4722.4122,24717705900.0000,653931756259.0000
2026-06-12,4784.6396,4809.8606,4757.5574,4777.3206,33592206300.0000,871477325201.0000
2026-06-15,4829.2886,4892.5502,4803.1836,4891.7126,33131607600.0000,914145755805.0000
2026-06-16,4894.8785,4908.2817,4866.0613,4884.2322,28258474300.0000,857202587478.0000
