开始日期,2014-01-01,,,,,
截止日期,2021-01-08,,,,,
证券代码,000300.SH,,,,,
证券简称,沪深300,,,,,
日期,开盘价,最高价,最低价,收盘价,成交量,"成交额
[单位]元"
Date,open,high,low,close,volume,amt
2014-01-02,2323.4330,2325.9910,2310.6530,2321.9780,4519429100.0000,49012211124.0000
2014-01-03,2311.9680,2314.8360,2280.8870,2290.7790,5978264500.0000,57739709924.0000
2014-01-06,2286.3710,2286.3710,2229.3340,2238.6370,6630040300.0000,59979360128.0000
2014-01-07,2222.3060,2246.7910,2218.6470,2238.0010,4375310300.0000,42565648108.0000
2014-01-08,2240.6350,2262.5840,2228.4180,2241.9110,5134885400.0000,50691488898.0000
2014-01-09,2236.9670,2258.8940,2220.8020,2222.2210,5598704100.0000,54399491333.0000
2014-01-10,2216.5210,2224.4940,2200.2150,2204.8510,5416929300.0000,47572309533.0000
2014-01-13,2206.9960,2222.0720,2183.5970,2193.6790,5012277200.0000,46123003754.0000
2014-01-14,2192.8440,2214.1240,2179.9080,2212.8460,5404994700.0000,46785099888.0000
2014-01-15,2210.0240,2215.9030,2193.8020,2208.9410,4896239500.0000,45755914348.0000
2014-01-16,2209.4480,2227.2620,2201.5600,2211.8440,5229890200.0000,49842784005.0000
2014-01-17,2203.8210,2205.9720,2175.8760,2178.4880,5027315500.0000,46268159163.0000
2014-01-20,2173.6510,2182.4630,2156.4580,2165.9930,4056015400.0000,39157227541.0000
2014-01-21,2168.4200,2197.9230,2168.4200,2187.4100,4030624700.0000,38590992772.0000
2014-01-22,2190.4320,2244.1330,2187.5340,2243.7960,7064137500.0000,64803357078.0000
2014-01-23,2242.2450,2248.9240,2228.0570,2231.8890,5634595100.0000,55726417393.0000
2014-01-24,2225.7580,2257.3550,2222.8930,2245.6780,6116767000.0000,59563444873.0000
2014-01-27,2233.0150,2233.2310,2211.7990,2215.9190,7034424600.0000,63503992484.0000
2014-01-28,2220.7850,2233.2570,2205.9720,2219.8550,5326913000.0000,49408754555.0000
2014-01-29,2225.7110,2233.0570,2219.9280,2227.7810,5022271700.0000,48788682770.0000
2014-01-30,2223.1630,2223.1630,2200.2240,2202.4500,4363230400.0000,43475960839.0000
2014-02-07,2187.3430,2212.4980,2177.1170,2212.4830,5045931500.0000,49597106433.0000
2014-02-10,2221.5400,2270.1940,2221.5400,2267.5340,8306571600.0000,81103244127.0000
2014-02-11,2267.7350,2296.5160,2262.5990,2285.5620,9922982900.0000,92688969126.0000
2014-02-12,2286.1870,2294.3170,2276.4440,2291.2460,7659216100.0000,73487379679.0000
2014-02-13,2288.4510,2307.4740,2278.2610,2279.5540,9621778900.0000,87352124305.0000
2014-02-14,2278.4000,2295.8520,2274.4290,2295.5750,6708299700.0000,64613327719.0000
2014-02-17,2308.7910,2315.5790,2293.5520,2311.6470,8783166600.0000,86871352624.0000
2014-02-18,2310.3090,2310.3090,2276.1080,2282.4420,8704974300.0000,88107267954.0000
2014-02-19,2280.9270,2317.4200,2274.1520,2308.6560,9935256100.0000,88341900374.0000
2014-02-20,2314.0880,2331.6980,2286.2030,2287.4360,10643953300.0000,91771595713.0000
2014-02-21,2284.0300,2287.8690,2250.6520,2264.2940,7636899300.0000,69908188663.0000
2014-02-24,2246.7150,2246.7150,2194.1640,2214.5090,8921593900.0000,79599146389.0000
2014-02-25,2216.5150,2225.2090,2150.0950,2157.9090,9323755100.0000,88306571728.0000
2014-02-26,2147.7370,2164.6980,2137.0790,2163.4050,7799329700.0000,68640581126.0000
2014-02-27,2170.8100,2180.0630,2150.1350,2154.1080,9010429600.0000,81587999653.0000
2014-02-28,2149.4460,2180.4740,2133.5480,2178.9710,7666805700.0000,70216798972.0000
2014-03-03,2173.9070,2194.2240,2167.9100,2190.3700,8207231400.0000,69408739897.0000
2014-03-04,2183.8580,2188.6010,2161.5890,2184.2730,7306925000.0000,64691438035.0000
2014-03-05,2187.3520,2189.0930,2159.5950,2163.9760,6133201500.0000,55669679402.0000
2014-03-06,2159.3970,2181.4270,2136.4540,2173.6340,6909376700.0000,61495023657.0000
2014-03-07,2170.0430,2189.3900,2161.4360,2168.3580,6426517700.0000,58693177974.0000
2014-03-10,2149.6760,2149.6760,2095.0670,2097.7870,7141640700.0000,63086412572.0000
2014-03-11,2092.6080,2118.7900,2088.7290,2108.6610,5762124300.0000,53075782462.0000
2014-03-12,2102.8010,2130.5860,2090.7570,2114.1340,7006974700.0000,60115239174.0000
