pit_policy,formation_date,ticker
legal_deadline,2017-05-31,000511.SZ
legal_deadline,2018-05-31,000048.SZ
legal_deadline,2018-05-31,000409.SZ
legal_deadline,2018-05-31,000939.SZ
legal_deadline,2018-05-31,300216.SZ
legal_deadline,2018-05-31,600399.SH
legal_deadline,2018-05-31,600610.SH
legal_deadline,2018-06-29,000048.SZ
legal_deadline,2018-06-29,600610.SH
legal_deadline,2018-07-31,000048.SZ
legal_deadline,2018-07-31,600610.SH
legal_deadline,2019-05-31,002263.SZ
legal_deadline,2019-05-31,600610.SH
legal_deadline,2020-04-30,000587.SZ
legal_deadline,2020-04-30,002766.SZ
legal_deadline,2020-04-30,300116.SZ
legal_deadline,2020-04-30,300178.SZ
legal_deadline,2020-04-30,600145.SH
legal_deadline,2020-04-30,600226.SH
legal_deadline,2020-04-30,600589.SH
legal_deadline,2020-05-29,600145.SH
legal_deadline,2020-05-29,600226.SH
legal_deadline,2020-05-29,600589.SH
legal_deadline,2020-06-30,600145.SH
legal_deadline,2020-07-31,600145.SH
legal_deadline,2021-05-31,600093.SH
legal_deadline,2021-06-30,600093.SH
legal_deadline,2022-05-31,000971.SZ
legal_deadline,2022-05-31,002118.SZ
legal_deadline,2022-05-31,002411.SZ
legal_deadline,2022-05-31,002433.SZ
legal_deadline,2022-05-31,002776.SZ
legal_deadline,2022-05-31,300108.SZ
legal_deadline,2022-05-31,300201.SZ
legal_deadline,2022-05-31,600532.SH
legal_deadline,2022-05-31,600748.SH
legal_deadline,2022-05-31,600781.SH
legal_deadline,2022-06-30,000971.SZ
legal_deadline,2022-06-30,002776.SZ
legal_deadline,2022-06-30,300201.SZ
legal_deadline,2022-07-29,300201.SZ
legal_deadline,2022-08-31,300201.SZ
legal_deadline,2022-09-30,300201.SZ
legal_deadline,2022-10-31,300201.SZ
legal_deadline,2022-11-30,300201.SZ
legal_deadline,2023-05-31,002564.SZ
legal_deadline,2023-05-31,002656.SZ
legal_deadline,2023-05-31,600530.SH
legal_deadline,2023-06-30,600530.SH
legal_deadline,2023-07-31,600530.SH
legal_deadline_plus_one_month_end,2017-05-31,000511.SZ
legal_deadline_plus_one_month_end,2018-05-31,000048.SZ
legal_deadline_plus_one_month_end,2018-05-31,000409.SZ
legal_deadline_plus_one_month_end,2018-05-31,000939.SZ
legal_deadline_plus_one_month_end,2018-05-31,300216.SZ
legal_deadline_plus_one_month_end,2018-05-31,600399.SH
legal_deadline_plus_one_month_end,2018-05-31,600610.SH
legal_deadline_plus_one_month_end,2018-06-29,000048.SZ
legal_deadline_plus_one_month_end,2018-06-29,600610.SH
legal_deadline_plus_one_month_end,2018-07-31,000048.SZ
legal_deadline_plus_one_month_end,2018-07-31,600610.SH
legal_deadline_plus_one_month_end,2019-05-31,002263.SZ
legal_deadline_plus_one_month_end,2019-05-31,600610.SH
legal_deadline_plus_one_month_end,2020-06-30,600145.SH
legal_deadline_plus_one_month_end,2020-07-31,600145.SH
legal_deadline_plus_one_month_end,2021-05-31,600093.SH
legal_deadline_plus_one_month_end,2021-06-30,600093.SH
legal_deadline_plus_one_month_end,2022-05-31,000971.SZ
legal_deadline_plus_one_month_end,2022-05-31,002118.SZ
legal_deadline_plus_one_month_end,2022-05-31,002411.SZ
legal_deadline_plus_one_month_end,2022-05-31,002433.SZ
legal_deadline_plus_one_month_end,2022-05-31,002776.SZ
legal_deadline_plus_one_month_end,2022-05-31,300108.SZ
legal_deadline_plus_one_month_end,2022-05-31,300201.SZ
legal_deadline_plus_one_month_end,2022-05-31,600532.SH
legal_deadline_plus_one_month_end,2022-05-31,600748.SH
legal_deadline_plus_one_month_end,2022-05-31,600781.SH
legal_deadline_plus_one_month_end,2022-06-30,000971.SZ
legal_deadline_plus_one_month_end,2022-06-30,002776.SZ
legal_deadline_plus_one_month_end,2022-06-30,300201.SZ
legal_deadline_plus_one_month_end,2022-07-29,300201.SZ
legal_deadline_plus_one_month_end,2022-08-31,300201.SZ
legal_deadline_plus_one_month_end,2022-09-30,300201.SZ
legal_deadline_plus_one_month_end,2022-10-31,300201.SZ
legal_deadline_plus_one_month_end,2022-11-30,300201.SZ
legal_deadline_plus_one_month_end,2023-05-31,002564.SZ
legal_deadline_plus_one_month_end,2023-05-31,002656.SZ
legal_deadline_plus_one_month_end,2023-05-31,600530.SH
legal_deadline_plus_one_month_end,2023-06-30,600530.SH
legal_deadline_plus_one_month_end,2023-07-31,600530.SH
