pit_policy,candidate,q,target,window,model,n,oos_r2,spearman_ic,partial_ic,cosine_early_late,confirmation_score_spearman,state_UU_share,state_DD_share,state_DIV_share,gate_name,gate_pass,is_in_sample,affects_verdict
ALL,,,,run,,,,,,,,,,,PIT_POLICY_FLIP,True,False,True
legal_deadline,B3_dual_target,,,2021-2023,,,,,,,,,,,m1_increment,False,False,True
legal_deadline,B3_dual_target,,,2021-2023,,,,,,,,,,,partial_ic,True,False,True
legal_deadline,B3_dual_target,,,2021-2023,,,,,,,,,,,stability,False,False,True
legal_deadline,B3_dual_target,,,2021-2023,,,,,,,,,,,state_coverage,False,False,True
legal_deadline,B3_dual_target,q1000,1000,2015-2017,M1,713.0,,,,,,0.5525946704067322,0.38429172510518933,0.06311360448807854,state_coverage,False,False,True
legal_deadline,B3_dual_target,q1000,1000,2015-2020,M1,71.0,,0.18443997317236752,0.1167750269030441,,,,,,,,True,False
legal_deadline,B3_dual_target,q1000,1000,2015-2020,M1,1443.0,,,,,,0.5190575190575191,0.40817740817740816,0.07276507276507277,state_coverage,False,False,False
legal_deadline,B3_dual_target,q1000,1000,2018-2020,M1,730.0,,,,,,0.4863013698630137,0.4315068493150685,0.0821917808219178,state_coverage,False,False,True
legal_deadline,B3_dual_target,q1000,1000,2021,M1,11.0,0.04796858723172259,0.4090909090909091,0.09587062360592126,,,,,,,,False,True
legal_deadline,B3_dual_target,q1000,1000,2021-2023,M0,35.0,0.06748073433861712,0.5168067226890757,,,,,,,,,False,True
legal_deadline,B3_dual_target,q1000,1000,2021-2023,M1,35.0,0.1669956117441863,0.4761904761904763,0.19039662372515131,,,,,,,,False,True
legal_deadline,B3_dual_target,q1000,1000,2021-2023,M1,,,,,,,,,,m1_increment,False,False,True
legal_deadline,B3_dual_target,q1000,1000,2021-2023,M1,,,,0.19039662372515131,,,,,,partial_ic,True,False,True
legal_deadline,B3_dual_target,q1000,1000,2021-2023,M1,,,,,0.1749390302122628,0.2963254389726817,,,,stability,False,False,True
legal_deadline,B3_dual_target,q1000,1000,2021-2023,M1,727.0,,,,,,0.4718019257221458,0.39339752407152684,0.13480055020632736,state_coverage,True,False,True
legal_deadline,B3_dual_target,q1000,1000,2022,M1,11.0,0.09887034527045568,0.3727272727272728,0.07344036717206952,,,,,,,,False,True
legal_deadline,B3_dual_target,q1000,1000,2023,M1,11.0,0.4759377239674013,0.6000000000000001,0.008026145701143976,,,,,,,,False,True
legal_deadline,B3_dual_target,q500,500,2015-2017,M1,713.0,,,,,,0.520336605890603,0.37868162692847124,0.10098176718092566,state_coverage,True,False,True
legal_deadline,B3_dual_target,q500,500,2015-2020,M1,71.0,,0.13568075117370892,0.0606172037758055,,,,,,,,True,False
legal_deadline,B3_dual_target,q500,500,2015-2020,M1,1443.0,,,,,,0.4941094941094941,0.40263340263340264,0.10325710325710326,state_coverage,True,False,False
legal_deadline,B3_dual_target,q500,500,2018-2020,M1,730.0,,,,,,0.4684931506849315,0.426027397260274,0.10547945205479452,state_coverage,True,False,True
legal_deadline,B3_dual_target,q500,500,2021,M1,11.0,0.12366594359108996,0.39090909090909093,0.10941238479233001,,,,,,,,False,True
legal_deadline,B3_dual_target,q500,500,2021-2023,M0,35.0,0.1041054993660524,0.35910364145658263,,,,,,,,,False,True
legal_deadline,B3_dual_target,q500,500,2021-2023,M1,35.0,0.1671381594152742,0.34621848739495803,0.11956503569363101,,,,,,,,False,True
legal_deadline,B3_dual_target,q500,500,2021-2023,M1,,,,,,,,,,m1_increment,False,False,True
legal_deadline,B3_dual_target,q500,500,2021-2023,M1,,,,0.11956503569363101,,,,,,partial_ic,True,False,True
legal_deadline,B3_dual_target,q500,500,2021-2023,M1,,,,,-0.28603706294915193,-0.09110724838497754,,,,stability,False,False,True
legal_deadline,B3_dual_target,q500,500,2021-2023,M1,727.0,,,,,,0.45392022008253097,0.38651994497936726,0.15955983493810177,state_coverage,True,False,True
legal_deadline,B3_dual_target,q500,500,2022,M1,11.0,0.19589001078990065,0.38181818181818183,0.004483508600431406,,,,,,,,False,True
legal_deadline,B3_dual_target,q500,500,2023,M1,11.0,-0.08942375855339724,0.05454545454545456,-0.2816853337438451,,,,,,,,False,True
legal_deadline,B3_unified,,,2021-2023,,,,,,,,,,,m1_increment,True,False,True
legal_deadline,B3_unified,,,2021-2023,,,,,,,,,,,partial_ic,False,False,True
legal_deadline,B3_unified,,,2021-2023,,,,,,,,,,,stability,False,False,True
legal_deadline,B3_unified,,,2021-2023,,,,,,,,,,,state_coverage,False,False,True
legal_deadline,B3_unified,qblend,blend,2015-2017,M1,713.0,,,,,,0.5399719495091164,0.38429172510518933,0.07573632538569425,state_coverage,False,False,True
legal_deadline,B3_unified,qblend,blend,2015-2020,M1,71.0,,0.14346076458752513,0.046338304115976954,,,,,,,,True,False
legal_deadline,B3_unified,qblend,blend,2015-2020,M1,1443.0,,,,,,0.5058905058905059,0.4047124047124047,0.0893970893970894,state_coverage,False,False,False
legal_deadline,B3_unified,qblend,blend,2018-2020,M1,730.0,,,,,,0.4726027397260274,0.4246575342465753,0.10273972602739725,state_coverage,True,False,True
legal_deadline,B3_unified,qblend,blend,2021,M1,11.0,0.26325521250493233,0.7090909090909092,0.7063001655851698,,,,,,,,False,True
legal_deadline,B3_unified,qblend,blend,2021-2023,M0,35.0,0.08964325411038632,0.480952380952381,,,,,,,,,False,True
legal_deadline,B3_unified,qblend,blend,2021-2023,M1,35.0,0.20152246557798104,0.5431372549019609,0.24826488847687073,,,,,,,,False,True
legal_deadline,B3_unified,qblend,blend,2021-2023,M1,,,,,,,,,,m1_increment,True,False,True
legal_deadline,B3_unified,qblend,blend,2021-2023,M1,,,,0.24826488847687073,,,,,,partial_ic,False,False,True
legal_deadline,B3_unified,qblend,blend,2021-2023,M1,,,,,-0.2649373822355007,-0.027066343685075708,,,,stability,False,False,True
legal_deadline,B3_unified,qblend,blend,2021-2023,M1,727.0,,,,,,0.45254470426409904,0.3947730398899587,0.15268225584594222,state_coverage,True,False,True
legal_deadline,B3_unified,qblend,blend,2022,M1,11.0,0.1554676108989237,0.4000000000000001,-0.14282844137622708,,,,,,,,False,True
legal_deadline,B3_unified,qblend,blend,2023,M1,11.0,0.23620952833395437,0.48181818181818187,-0.4750547135302455,,,,,,,,False,True
legal_deadline,PUBLIC,,,2021-2023,,35.0,,,,,,,,,interaction_axis_corr,True,False,True
legal_deadline,PUBLIC,,,structure,,3.0,,,,,,,,,beta_h_same_sign,True,False,True
legal_deadline,PUBLIC,,,structure,,110.0,,,,,,,,,hard_sort_complete,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,,,2021-2023,,,,,,,,,,,m1_increment,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,,,2021-2023,,,,,,,,,,,partial_ic,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,,,2021-2023,,,,,,,,,,,stability,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,,,2021-2023,,,,,,,,,,,state_coverage,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2015-2017,M1,713.0,,,,,,0.5525946704067322,0.38429172510518933,0.06311360448807854,state_coverage,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2015-2020,M1,71.0,,0.18443997317236752,0.1167750269030441,,,,,,,,True,False
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2015-2020,M1,1443.0,,,,,,0.5190575190575191,0.40817740817740816,0.07276507276507277,state_coverage,False,False,False
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2018-2020,M1,730.0,,,,,,0.4863013698630137,0.4315068493150685,0.0821917808219178,state_coverage,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021,M1,11.0,0.04796858723172259,0.4090909090909091,0.09587062360592126,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021-2023,M0,35.0,0.06748073433861712,0.5168067226890757,,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021-2023,M1,35.0,0.1669956117441863,0.4761904761904763,0.19039662372515131,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021-2023,M1,,,,,,,,,,m1_increment,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021-2023,M1,,,,0.19039662372515131,,,,,,partial_ic,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021-2023,M1,,,,,0.1749390302122628,0.2963254389726817,,,,stability,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2021-2023,M1,727.0,,,,,,0.4718019257221458,0.39339752407152684,0.13480055020632736,state_coverage,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2022,M1,11.0,0.09887034527045568,0.3727272727272728,0.07344036717206952,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q1000,1000,2023,M1,11.0,0.4759377239674013,0.6000000000000001,0.008026145701143976,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2015-2017,M1,713.0,,,,,,0.520336605890603,0.37868162692847124,0.10098176718092566,state_coverage,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2015-2020,M1,71.0,,0.13568075117370892,0.0606172037758055,,,,,,,,True,False
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2015-2020,M1,1443.0,,,,,,0.4941094941094941,0.40263340263340264,0.10325710325710326,state_coverage,True,False,False
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2018-2020,M1,730.0,,,,,,0.4684931506849315,0.426027397260274,0.10547945205479452,state_coverage,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021,M1,11.0,0.12366594359108996,0.39090909090909093,0.10941238479233001,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021-2023,M0,35.0,0.1041054993660524,0.35910364145658263,,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021-2023,M1,35.0,0.1671381594152742,0.34621848739495803,0.11956503569363101,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021-2023,M1,,,,,,,,,,m1_increment,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021-2023,M1,,,,0.11956503569363101,,,,,,partial_ic,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021-2023,M1,,,,,-0.28603706294915193,-0.09110724838497754,,,,stability,False,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2021-2023,M1,727.0,,,,,,0.45392022008253097,0.38651994497936726,0.15955983493810177,state_coverage,True,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2022,M1,11.0,0.19589001078990065,0.38181818181818183,0.004483508600431406,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_dual_target,q500,500,2023,M1,11.0,-0.08942375855339724,0.05454545454545456,-0.2816853337438451,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_unified,,,2021-2023,,,,,,,,,,,m1_increment,True,False,True
legal_deadline_plus_one_month_end,B3_unified,,,2021-2023,,,,,,,,,,,partial_ic,False,False,True
legal_deadline_plus_one_month_end,B3_unified,,,2021-2023,,,,,,,,,,,stability,False,False,True
legal_deadline_plus_one_month_end,B3_unified,,,2021-2023,,,,,,,,,,,state_coverage,False,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2015-2017,M1,713.0,,,,,,0.5399719495091164,0.38429172510518933,0.07573632538569425,state_coverage,False,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2015-2020,M1,71.0,,0.14346076458752513,0.046338304115976954,,,,,,,,True,False
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2015-2020,M1,1443.0,,,,,,0.5058905058905059,0.4047124047124047,0.0893970893970894,state_coverage,False,False,False
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2018-2020,M1,730.0,,,,,,0.4726027397260274,0.4246575342465753,0.10273972602739725,state_coverage,True,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021,M1,11.0,0.26325521250493233,0.7090909090909092,0.7063001655851698,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021-2023,M0,35.0,0.08964325411038632,0.480952380952381,,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021-2023,M1,35.0,0.20152246557798104,0.5431372549019609,0.24826488847687073,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021-2023,M1,,,,,,,,,,m1_increment,True,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021-2023,M1,,,,0.24826488847687073,,,,,,partial_ic,False,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021-2023,M1,,,,,-0.2649373822355007,-0.027066343685075708,,,,stability,False,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2021-2023,M1,727.0,,,,,,0.45254470426409904,0.3947730398899587,0.15268225584594222,state_coverage,True,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2022,M1,11.0,0.1554676108989237,0.4000000000000001,-0.14282844137622708,,,,,,,,False,True
legal_deadline_plus_one_month_end,B3_unified,qblend,blend,2023,M1,11.0,0.23620952833395437,0.48181818181818187,-0.4750547135302455,,,,,,,,False,True
legal_deadline_plus_one_month_end,PUBLIC,,,2021-2023,,35.0,,,,,,,,,interaction_axis_corr,True,False,True
legal_deadline_plus_one_month_end,PUBLIC,,,structure,,3.0,,,,,,,,,beta_h_same_sign,True,False,True
legal_deadline_plus_one_month_end,PUBLIC,,,structure,,110.0,,,,,,,,,hard_sort_complete,True,False,True
