pit_policy,candidate,window,row_type,year,excluded_year,n_obs,signed_log_pnl,absolute_pnl_share,strongest_year,ann_return,sharpe,maxdd,is_in_sample,affects_verdict
legal_deadline,B3_dual_target,2015-2023,excluding_strongest,,2015.0,1945,,,2015,0.08552689563534999,0.5848889265991507,-0.18994086741896832,True,False
legal_deadline,B3_dual_target,2015-2023,year,2015.0,,225,0.7807571634085936,0.48390431701664116,2015,0.8886916617423986,3.260530771065628,-0.19476326697579416,True,False
legal_deadline,B3_dual_target,2015-2023,year,2016.0,,244,-0.1001509645256068,0.062072416826432913,2015,-0.07705169444785877,-0.35784778462747185,-0.18994086741896832,True,False
legal_deadline,B3_dual_target,2015-2023,year,2017.0,,244,0.018612276939291218,0.011535675345086644,2015,0.02286018188842797,0.25036922321606897,-0.06562649550669564,True,False
legal_deadline,B3_dual_target,2015-2023,year,2018.0,,243,-0.019529571893201307,0.012104204215493403,2015,-0.01062224403728338,-0.07890640539773808,-0.13901659404173772,True,False
legal_deadline,B3_dual_target,2015-2023,year,2019.0,,244,0.2966276688238497,0.18384642013886326,2015,0.3118088412530159,1.8688786521012404,-0.07995412221954667,True,False
legal_deadline,B3_dual_target,2015-2023,year,2020.0,,243,0.1206259122827883,0.07476255413767421,2015,0.13994516539907922,0.7356045072987807,-0.12327697458527875,True,False
legal_deadline,B3_dual_target,2015-2023,year,2021.0,,243,0.153755684896496,0.09529600645921636,2015,0.15893554755372052,1.8038302769882073,-0.03042731476878613,True,False
legal_deadline,B3_dual_target,2015-2023,year,2022.0,,242,0.05063708740082065,0.03138428482350365,2015,0.06011529103955141,0.45246375843426706,-0.13558584669953921,True,False
legal_deadline,B3_dual_target,2015-2023,year,2023.0,,242,0.07275727202514323,0.045094121037088375,2015,0.0780846092209879,0.8296593909760261,-0.10819799242613182,True,False
legal_deadline,B3_dual_target,2021-2023,excluding_strongest,,2021.0,484,,,2021,0.06909995013026965,0.6008007212922445,-0.13558584669953921,False,False
legal_deadline,B3_dual_target,2021-2023,year,2021.0,,243,0.14406106896570486,0.5386358012324134,2021,0.14911430426123642,1.701402435137013,-0.030427314768786018,False,False
legal_deadline,B3_dual_target,2021-2023,year,2022.0,,242,0.05063708740082065,0.1893290695400146,2021,0.06011529103955141,0.45246375843426706,-0.13558584669953921,False,False
legal_deadline,B3_dual_target,2021-2023,year,2023.0,,242,0.07275727202514323,0.272035129227572,2021,0.0780846092209879,0.8296593909760261,-0.10819799242613182,False,False
legal_deadline,B3_unified,2015-2023,excluding_strongest,,2015.0,1945,,,2015,0.09865192156041655,0.6603059123787156,-0.25347426259991557,True,False
legal_deadline,B3_unified,2015-2023,year,2015.0,,225,0.7103772724062631,0.4033070664187698,2015,0.8298278369352313,2.5035853635700263,-0.303918283106714,True,False
legal_deadline,B3_unified,2015-2023,year,2016.0,,244,0.136892727004229,0.07771899001657072,2015,0.15363815804859912,0.857699897966927,-0.12811635955158895,True,False
legal_deadline,B3_unified,2015-2023,year,2017.0,,244,-0.009491959051130655,0.00538893107673815,2015,-0.004860690369936622,-0.05031724403970185,-0.09076346645788425,True,False
legal_deadline,B3_unified,2015-2023,year,2018.0,,243,-0.16904907849102388,0.09597532265646579,2015,-0.15800000509877893,-1.0081222027535026,-0.24584845747097217,True,False
legal_deadline,B3_unified,2015-2023,year,2019.0,,244,0.27427282635083094,0.1557146790736249,2015,0.2918040085929859,1.6109955203519257,-0.09964115670331852,True,False
legal_deadline,B3_unified,2015-2023,year,2020.0,,243,0.14985721883041236,0.08507940450212576,2015,0.1670457230820042,0.9416362910507419,-0.12327697458527875,True,False
legal_deadline,B3_unified,2015-2023,year,2021.0,,243,0.1551197002009685,0.0880671069612053,2015,0.16322599685839703,1.3986949676087237,-0.07845547178344348,True,False
legal_deadline,B3_unified,2015-2023,year,2022.0,,242,0.09198864257911224,0.052225304811285234,2015,0.10579523595007784,0.6659747609050836,-0.11106212850887998,True,False
legal_deadline,B3_unified,2015-2023,year,2023.0,,242,0.06433124890901175,0.03652319448321424,2015,0.06988278272022692,0.7166128266992003,-0.1210149920500444,True,False
legal_deadline,B3_unified,2021-2023,excluding_strongest,,2021.0,484,,,2021,0.08783900933515237,0.6670927387684077,-0.12101499205004573,False,False
legal_deadline,B3_unified,2021-2023,year,2021.0,,243,0.13399222256165982,0.4615454060545415,2021,0.1417027076508163,1.2336624027462877,-0.07845547178344348,False,False
legal_deadline,B3_unified,2021-2023,year,2022.0,,242,0.09198864257911224,0.31686119223856324,2021,0.10579523595007784,0.6659747609050836,-0.11106212850887998,False,False
legal_deadline,B3_unified,2021-2023,year,2023.0,,242,0.06433124890901175,0.22159340170689532,2021,0.06988278272022692,0.7166128266992003,-0.1210149920500444,False,False
legal_deadline_plus_one_month_end,B3_dual_target,2015-2023,excluding_strongest,,2015.0,1945,,,2015,0.08552689563534999,0.5848889265991507,-0.18994086741896832,True,False
legal_deadline_plus_one_month_end,B3_dual_target,2015-2023,year,2015.0,,225,0.7807571634085936,0.48390431701664116,2015,0.8886916617423986,3.260530771065628,-0.19476326697579416,True,False
legal_deadline_plus_one_month_end,B3_dual_target,2015-2023,year,2016.0,,244,-0.1001509645256068,0.062072416826432913,2015,-0.07705169444785877,-0.35784778462747185,-0.18994086741896832,True,False
legal_deadline_plus_one_month_end,B3_dual_target,2015-2023,year,2017.0,,244,0.018612276939291218,0.011535675345086644,2015,0.02286018188842797,0.25036922321606897,-0.06562649550669564,True,False
legal_deadline_plus_one_month_end,B3_dual_target,2015-2023,year,2018.0,,243,-0.019529571893201307,0.012104204215493403,2015,-0.01062224403728338,-0.07890640539773808,-0.13901659404173772,True,False
legal_deadline_plus_one_month_end,B3_dual_target,2015-2023,year,2019.0,,244,0.2966276688238497,0.18384642013886326,2015,0.3118088412530159,1.8688786521012404,-0.07995412221954667,True,False
legal_deadline_plus_one_month_end,B3_dual_target,2015-2023,year,2020.0,,243,0.1206259122827883,0.07476255413767421,2015,0.13994516539907922,0.7356045072987807,-0.12327697458527875,True,False
legal_deadline_plus_one_month_end,B3_dual_target,2015-2023,year,2021.0,,243,0.153755684896496,0.09529600645921636,2015,0.15893554755372052,1.8038302769882073,-0.03042731476878613,True,False
legal_deadline_plus_one_month_end,B3_dual_target,2015-2023,year,2022.0,,242,0.05063708740082065,0.03138428482350365,2015,0.06011529103955141,0.45246375843426706,-0.13558584669953921,True,False
legal_deadline_plus_one_month_end,B3_dual_target,2015-2023,year,2023.0,,242,0.07275727202514323,0.045094121037088375,2015,0.0780846092209879,0.8296593909760261,-0.10819799242613182,True,False
legal_deadline_plus_one_month_end,B3_dual_target,2021-2023,excluding_strongest,,2021.0,484,,,2021,0.06909995013026965,0.6008007212922445,-0.13558584669953921,False,False
legal_deadline_plus_one_month_end,B3_dual_target,2021-2023,year,2021.0,,243,0.14406106896570486,0.5386358012324134,2021,0.14911430426123642,1.701402435137013,-0.030427314768786018,False,False
