pit_policy,formation_date,scope,input_n,size_excluded_n,model_excluded_n,size_n,model_n,m_orthogonality_error,s_orthogonality_error,h_orthogonality_error,max_orthogonality_error,data_exempt_names,data_exempt_share,data_materiality_threshold,q500,q1000,qblend,unverified_first_disclosure_model_rows,unverified_first_disclosure_dependencies_json
legal_deadline,2014-10-31,exposure,2563,48,432,2515,2131,8.618265566956619e-16,4.898892595870894e-16,2.1890301067294814e-16,8.618265566956619e-16,0,0.0,0.0025,-0.5105581918849169,0.33826502252758417,-0.08614658467866637,0,[]
legal_deadline,2014-11-28,exposure,2571,56,440,2515,2131,6.299228458290812e-16,4.827985189432133e-16,3.713664304408205e-16,6.299228458290812e-16,0,0.0,0.0025,-0.49188589186993276,0.33582858627976275,-0.078028652795085,0,[]
legal_deadline,2014-12-31,exposure,2592,68,461,2524,2131,6.306728197487855e-16,6.449016801844939e-16,2.2958153656219796e-16,6.449016801844939e-16,0,0.0,0.0025,-0.5576276740659478,0.34032830359714394,-0.10864968523440194,0,[]
legal_deadline,2015-01-30,exposure,2614,82,484,2532,2130,4.2568624319116187e-16,1.4764718016986993e-15,2.0362819824924108e-16,1.4764718016986993e-15,0,0.0,0.0025,-0.5617341421973188,0.32833706743060603,-0.11669853738335637,0,[]
legal_deadline,2015-02-27,exposure,2635,99,505,2536,2130,2.7766963355934297e-16,1.1765377816517095e-15,2.595700109550765e-16,1.1765377816517095e-15,0,0.0,0.0025,-0.5464212997100308,0.3280146064581174,-0.10920334662595671,0,[]
legal_deadline,2015-03-31,exposure,2662,115,532,2547,2130,1.5507683383874698e-15,1.061332210099048e-15,1.8360469159965543e-16,1.5507683383874698e-15,0,0.0,0.0025,-0.5548596414668798,0.3537753937931143,-0.10054212383688277,0,[]
legal_deadline,2015-04-30,exposure,2692,130,481,2562,2211,1.0012697055161204e-15,4.676290017583709e-16,2.6957028383711574e-16,1.0012697055161204e-15,0,0.0,0.0025,-0.5209072408133235,0.34784488827446297,-0.08653117626943027,0,[]
legal_deadline,2015-05-29,exposure,2733,166,525,2567,2208,4.391116056797425e-16,7.919830559978599e-16,3.7338024491499666e-16,7.919830559978599e-16,0,0.0,0.0025,-0.5170740270498644,0.3541533534498231,-0.08146033680002063,0,[]
legal_deadline,2015-06-30,exposure,2776,188,568,2588,2208,4.543141248221749e-16,7.563964827780028e-16,4.1403878016827664e-16,7.563964827780028e-16,0,0.0,0.0025,-0.6077807706366134,0.330487594983462,-0.1386465878265757,0,[]
legal_deadline,2015-07-31,exposure,2780,170,572,2610,2208,2.3184723124888945e-16,8.679531397051713e-16,7.067037033333614e-16,8.679531397051713e-16,0,0.0,0.0025,-0.58400047010241,0.34023306589049046,-0.12188370210595975,0,[]
