index_code,wind_sector,date,maininflowcount,mainoutflowcount,maininmoney,mainoutmoney,maininflowmoney,openmaininflowmoney,endmaininflowmoney,extrabillinflowmoney,largebillinflowmoney,middlebillinflowmoney,smallbillinflowmoney
000680.SH,star,2021-06-30T00:00:00,130,170,2310731.691999999,2249693.7847999996,61037.90900000001,46682.6783,-8.96440000000075,60411.14679999998,626.760400000021,-382.90589999999065,-60655.00280000001
000680.SH,star,2021-06-29T00:00:00,109,190,1724806.0637999997,1825556.0239999988,-100749.96080000003,-26987.749399999997,2235.1431999999986,-48456.615099999966,-52293.34510000002,74933.7899,25816.17199999999
000680.SH,star,2021-06-28T00:00:00,124,175,1967943.0672,1943056.765999999,24886.30220000002,34391.734,-5992.537399999993,6828.661700000004,18057.63950000002,22719.817799999946,-47606.12079999999
000680.SH,star,2021-06-25T00:00:00,92,205,1831514.8941999997,1803544.1897000002,27970.70359999992,47308.793999999994,28211.855700000007,71941.47929999999,-43970.77480000001,-10157.33489999998,-17813.369099999978
000680.SH,star,2021-06-24T00:00:00,120,176,1765443.2731999995,1996648.4513,-231205.17609999995,-66023.655,-22146.2308,-101585.09769999993,-129620.0804,109303.98349999994,121901.19250000003
000680.SH,star,2021-06-23T00:00:00,133,163,2353803.665499999,2159295.398899998,194508.2661,121641.1896,-1569.2055999999977,130061.67600000004,64446.590600000025,-72882.47629999995,-121625.78929999997
000680.SH,star,2021-06-22T00:00:00,132,162,1854227.4943999988,1784476.6079000025,69750.88700000002,6196.212500000005,9419.501999999999,-11597.333000000008,81348.2195,87296.38940000001,-157047.2784
000680.SH,star,2021-06-21T00:00:00,133,160,1804639.7722999994,1764457.1427999998,40182.629099999955,18736.689999999977,9364.6113,26184.018899999995,13998.610600000004,-24864.706300000005,-15317.92229999997
000680.SH,star,2021-06-18T00:00:00,136,157,1822910.8089000003,1826782.6147999992,-3871.8071000000036,-11534.141999999996,6250.994700000001,-21909.02690000001,18037.220999999987,32562.0775,-28690.272100000002
000680.SH,star,2021-06-17T00:00:00,138,154,1930808.9679999996,1771517.6971999998,159291.27099999998,87.87239999999656,10784.04289999999,109856.60839999997,49434.66239999998,-37569.36890000003,-121721.90319999996
000680.SH,star,2021-06-16T00:00:00,104,187,1274301.8005999997,1346351.318999999,-72049.51890000007,-1047.8548000000137,2565.507199999999,-34226.74689999999,-37822.77149999999,69763.2442,2286.273900000033
000680.SH,star,2021-06-15T00:00:00,101,188,1487990.3193000003,1587104.954699999,-99114.63490000003,-25901.102500000008,-14988.146200000007,-54860.78629999998,-44253.84909999998,32071.303000000007,67043.33160000006
000680.SH,star,2021-06-11T00:00:00,116,172,1697229.9096000001,1775960.0508999997,-78730.14000000001,6948.1958000000195,-15045.9714,-44220.52570000001,-34509.61559999995,10858.747100000019,67871.3909
000680.SH,star,2021-06-10T00:00:00,108,179,1427822.008699999,1496051.454999999,-68229.44650000002,-24671.0894,-2938.010799999999,-39168.82650000002,-29060.61980000002,51346.717099999965,16882.728200000012
000680.SH,star,2021-06-09T00:00:00,100,187,1291473.4266999995,1268133.0238000003,23340.403599999998,48592.950899999996,-1926.314600000001,21914.673700000003,1425.7292000000234,-11099.78390000001,-12240.619300000006
000680.SH,star,2021-06-08T00:00:00,95,191,1506500.831799999,1378895.863299999,127604.96679999997,149980.30649999998,9573.572700000002,146030.81350000002,-18425.844999999943,-182498.67400000006,54893.70720000005
000680.SH,star,2021-06-07T00:00:00,114,170,1421861.4984000018,1446838.9654999988,-24977.467199999977,21176.966199999995,-4092.840000000003,2058.5943000000007,-27036.061399999977,29041.429700000004,-4063.9630000000034
000680.SH,star,2021-06-04T00:00:00,94,189,1213937.8027000001,1290338.9870999993,-76401.18360000002,-27454.863600000008,-12187.368399999998,-34437.802800000005,-41963.38159999999,36718.585199999994,39682.59800000004
