index_code,wind_sector,date,maininflowcount,mainoutflowcount,maininmoney,mainoutmoney,maininflowmoney,openmaininflowmoney,endmaininflowmoney,extrabillinflowmoney,largebillinflowmoney,middlebillinflowmoney,smallbillinflowmoney
399102.SZ,chinext,2024-02-29T00:00:00,839,499,8423159.280000003,7797045.891000003,626113.3884999993,70254.30569999992,308118.68999999977,420195.6403000003,205917.74869999994,-144294.61760000006,-481818.7710999989
399102.SZ,chinext,2024-02-28T00:00:00,274,1064,10013879.190400016,12066129.069799963,-2052249.880399999,-175489.44169999973,-315486.8000999997,-731643.8813000015,-1320605.998100002,114216.90580000024,1938032.9694999976
399102.SZ,chinext,2024-02-27T00:00:00,666,671,8786163.204600004,8377984.933000008,408178.2723000009,-203378.81169999958,210421.7795999995,415931.9886,-7753.717000000048,-152710.43209999963,-255467.8389999998
399102.SZ,chinext,2024-02-26T00:00:00,511,826,7500691.612599992,7934454.607600005,-433762.99580000003,-295024.1025999999,38739.021900000014,-59679.74670000001,-374083.24829999905,-23842.891899999948,457605.88849999954
399102.SZ,chinext,2024-02-23T00:00:00,696,641,7537262.427700011,7559236.3717,-21973.94520000008,-186164.9212,143939.8960000002,77881.04809999994,-99854.99209999994,-8378.303900000032,30352.248999999872
399102.SZ,chinext,2024-02-22T00:00:00,715,622,6170774.0404,6205488.301499983,-34714.26049999993,-61941.143899999995,133699.23960000003,31828.818199999914,-66543.0793000001,52059.66469999992,-17345.400700000053
399102.SZ,chinext,2024-02-21T00:00:00,638,699,6747650.463400002,6853189.589699998,-105539.12780000019,-159875.73199999923,-99908.78070000003,43034.10090000004,-148573.22720000005,-104643.28079999998,210182.4114999997
399102.SZ,chinext,2024-02-20T00:00:00,662,675,5805808.873599983,5909057.867700009,-103248.99560000005,-186288.58069999976,92755.72810000018,-4536.090099999959,-98712.90400000017,49681.25199999995,53567.74330000006
399102.SZ,chinext,2024-02-19T00:00:00,460,877,6288966.950500004,6369209.359300006,-80242.41040000018,-123886.56989999987,125470.15960000007,122629.57749999984,-202871.98629999987,-69596.33479999998,149838.7425
399102.SZ,chinext,2024-02-08T00:00:00,1007,330,5806938.5006000055,5369895.332299983,437043.16809999954,135797.78720000002,59211.94570000006,144490.0994,292553.0689000001,-139856.6551,-297186.5097000001
399102.SZ,chinext,2024-02-07T00:00:00,826,510,4761085.958700009,4994328.464400002,-233242.50430000102,37114.38899999998,21284.57719999998,-109026.495,-124216.01069999972,-183097.8939999999,416340.39739999984
