symbol,start_date,end_date
IC2605.CFE,2026-04-30,2026-08-25
IC2606.CFE,2026-04-30,2026-08-25
IC2607.CFE,2026-04-30,2026-08-25
IC2608.CFE,2026-04-30,2026-08-25
IC2609.CFE,2026-04-30,2026-08-25
IC2610.CFE,2026-04-30,2026-08-25
IC2612.CFE,2026-04-30,2026-08-25
IC2703.CFE,2026-04-30,2026-08-25
IM2605.CFE,2026-04-30,2026-08-25
IM2606.CFE,2026-04-30,2026-08-25
IM2607.CFE,2026-04-30,2026-08-25
IM2608.CFE,2026-04-30,2026-08-25
IM2609.CFE,2026-04-30,2026-08-25
IM2610.CFE,2026-04-30,2026-08-25
IM2612.CFE,2026-04-30,2026-08-25
IM2703.CFE,2026-04-30,2026-08-25
