date,factor_value,position_中证1000,position_中证500,position_沪深300,position_common
2014-01-02,0.0,0,0,0,0
2014-01-03,0.0,0,0,0,0
2014-01-06,0.0,0,0,0,0
2014-01-07,0.0,0,0,0,0
2014-01-08,0.0,0,0,0,0
2014-01-09,0.0,0,0,0,0
2014-01-10,0.0,0,0,0,0
2014-01-13,0.0,0,0,0,0
2014-01-14,0.0,0,0,0,0
2014-01-15,0.0,0,0,0,0
2014-01-16,0.0,0,0,0,0
2014-01-17,0.0,0,0,0,0
2014-01-20,0.0,0,0,0,0
2014-01-21,0.0,0,0,0,0
2014-01-22,0.0,0,0,0,0
2014-01-23,0.0,0,0,0,0
2014-01-24,0.0,0,0,0,0
2014-01-27,0.0,0,0,0,0
2014-01-28,0.0,0,0,0,0
2014-01-29,0.0,0,0,0,0
2014-01-30,0.0,0,0,0,0
2014-02-07,0.0,0,0,0,0
2014-02-10,0.0,0,0,0,0
2014-02-11,0.0,0,0,0,0
2014-02-12,0.0,0,0,0,0
2014-02-13,0.0,0,0,0,0
2014-02-14,0.0,0,0,0,0
2014-02-17,0.0,0,0,0,0
2014-02-18,0.0,0,0,0,0
2014-02-19,0.0,0,0,0,0
2014-02-20,0.0,0,0,0,0
2014-02-21,0.0,0,0,0,0
2014-02-24,0.0,0,0,0,0
2014-02-25,0.0,0,0,0,0
2014-02-26,0.0,0,0,0,0
2014-02-27,0.0,0,0,0,0
2014-02-28,0.0,0,0,0,0
2014-03-03,0.0,0,0,0,0
2014-03-04,0.0,0,0,0,0
2014-03-05,-0.1104,-1,0,0,0
2014-03-06,-0.2366,-1,0,0,0
2014-03-07,-0.3547,-1,0,0,0
2014-03-10,-0.4649,-1,0,0,0
2014-03-11,-0.5341,-1,0,0,0
2014-03-12,-0.4817,-1,0,0,0
2014-03-13,-0.3577,-1,0,0,0
2014-03-14,-0.2503,-1,0,0,0
2014-03-17,-0.1611,-1,0,0,0
2014-03-18,-0.1176,-1,0,0,0
2014-03-19,-0.1026,-1,0,0,0
2014-03-20,-0.1512,-1,0,0,0
2014-03-21,-0.2339,-1,0,0,0
2014-03-24,-0.3427,-1,0,0,0
2014-03-25,-0.4301,-1,0,0,0
2014-03-26,-0.4808,-1,0,0,0
2014-03-27,-0.483,-1,0,0,0
2014-03-28,-0.4841,-1,0,0,0
2014-03-31,-0.438,-1,0,0,0
2014-04-01,-0.3813,-1,0,0,0
2014-04-02,-0.3693,-1,0,0,0
2014-04-03,-0.3583,-1,0,0,0
2014-04-04,-0.3198,-1,0,0,0
2014-04-08,-0.2978,-1,0,0,0
2014-04-09,-0.3031,-1,0,0,0
2014-04-10,-0.3155,-1,0,0,0
2014-04-11,-0.3762,-1,0,0,0
2014-04-14,-0.4183,-1,0,0,0
2014-04-15,-0.4377,-1,0,0,0
2014-04-16,-0.4563,-1,0,0,0
2014-04-17,-0.3853,-1,0,0,0
2014-04-18,-0.2636,-1,0,0,0
2014-04-21,-0.1011,-1,0,0,0
2014-04-22,0.072,0,0,0,0
2014-04-23,0.2493,0,0,0,0
