date,factor_20,signal_20,factor_60,signal_60
2011-04-18,-0.8761,-1,-0.9027,-1
2011-04-19,-0.8837,-1,-0.8562,-1
2011-04-20,-0.8657,-1,-0.809,-1
2011-04-21,-0.8463,-1,-0.8104,-1
2011-04-22,-0.8772,-1,-0.8455,-1
2011-04-25,-0.9076,-1,-0.7985,-1
2011-04-26,-0.8947,-1,-0.7271,-1
2011-04-27,-0.9064,-1,-0.6584,-1
2011-04-28,-0.9013,-1,-0.6797,-1
2011-04-29,-0.9134,-1,-0.728,-1
2011-05-03,-0.9222,-1,-0.7379,-1
2011-05-04,-0.9301,-1,-0.7926,-1
2011-05-05,-0.8741,-1,-0.7529,-1
2011-05-06,-0.8495,-1,-0.7805,-1
2011-05-09,-0.843,-1,-0.759,-1
2011-05-10,-0.8077,-1,-0.8283,-1
2011-05-11,-0.6614,-1,-0.8219,-1
2011-05-12,-0.763,-1,-0.8523,-1
2011-05-13,-0.7168,-1,-0.8403,-1
2011-05-16,-0.6174,-1,-0.8505,-1
2011-05-17,-0.582,-1,-0.8729,-1
2011-05-18,-0.5732,-1,-0.8624,-1
2011-05-19,-0.5451,-1,-0.8773,-1
2011-05-20,-0.519,-1,-0.8814,-1
2011-05-23,-0.4316,-1,-0.8982,-1
2011-05-24,-0.2725,-1,-0.8826,-1
2011-05-25,-0.2534,-1,-0.8842,-1
2011-05-26,-0.0836,0,-0.8872,-1
2011-05-27,-0.0338,0,-0.8993,-1
2011-05-30,-0.111,0,-0.9119,-1
2011-05-31,-0.0591,0,-0.8794,-1
2011-06-01,0.1663,0,-0.8633,-1
2011-06-02,0.1008,0,-0.8531,-1
2011-06-03,0.0972,0,-0.8507,-1
2011-06-07,0.1393,0,-0.83,-1
2011-06-08,0.1641,0,-0.8414,-1
2011-06-09,0.1342,0,-0.8543,-1
2011-06-10,0.2663,0,-0.8596,-1
2011-06-13,0.2413,0,-0.8481,-1
2011-06-14,0.1195,0,-0.8698,-1
2011-06-15,0.0549,0,-0.8313,-1
2011-06-16,0.025,0,-0.8408,-1
2011-06-17,-0.1977,-1,-0.8593,-1
2011-06-20,-0.3489,-1,-0.8678,-1
2011-06-21,-0.3386,-1,-0.8671,-1
2011-06-22,-0.3565,-1,-0.8652,-1
2011-06-23,-0.26,-1,-0.8327,-1
2011-06-24,-0.1381,-1,-0.7833,-1
2011-06-27,0.1921,0,-0.6689,-1
2011-06-28,0.3714,1,-0.6555,-1
2011-06-29,0.2622,1,-0.6984,-1
2011-06-30,0.2017,1,-0.6645,-1
2011-07-01,0.2133,1,-0.5678,-1
2011-07-04,0.2385,1,-0.5158,-1
2011-07-05,0.1998,1,-0.5042,-1
2011-07-06,0.2639,1,-0.4044,-1
2011-07-07,0.3599,1,-0.1788,-1
2011-07-08,0.3593,1,-0.2205,-1
2011-07-11,0.3222,1,-0.2003,-1
2011-07-12,0.2858,1,-0.1918,-1
2011-07-13,0.4545,1,-0.0833,0
2011-07-14,0.562,1,-0.0085,0
2011-07-15,0.7371,1,0.0599,0
2011-07-18,0.815,1,0.0972,0
2011-07-19,0.7891,1,0.1277,0
2011-07-20,0.7964,1,0.233,0
2011-07-21,0.7236,1,0.2087,0
2011-07-22,0.7024,1,0.3533,1
2011-07-25,0.559,1,0.4306,1
2011-07-26,0.5953,1,0.5081,1
2011-07-27,0.7074,1,0.5579,1
2011-07-28,0.7268,1,0.6367,1
2011-07-29,0.6251,1,0.5449,1
2011-08-01,0.5596,1,0.5132,1
2011-08-02,0.5028,1,0.4802,1
2011-08-03,0.4994,1,0.5208,1
2011-08-04,0.4002,1,0.5023,1
2011-08-05,0.4585,1,0.5898,1
2011-08-08,0.3931,1,0.5295,1
2011-08-09,0.5067,1,0.5141,1
2011-08-10,0.4622,1,0.5452,1
2011-08-11,0.4462,1,0.5823,1
2011-08-12,0.3399,1,0.5629,1
2011-08-15,0.3392,1,0.5724,1
2011-08-16,0.4531,1,0.5971,1
2011-08-17,0.4136,1,0.5765,1
2011-08-18,0.4934,1,0.5884,1
2011-08-19,0.4809,1,0.6134,1
2011-08-22,0.4402,1,0.6321,1
2011-08-23,0.3763,1,0.6894,1
2011-08-24,0.3162,1,0.6881,1
2011-08-25,0.0809,0,0.5976,1
2011-08-26,0.242,0,0.5924,1
2011-08-29,0.3333,0,0.6005,1
2011-08-30,0.2106,0,0.5007,1
2011-08-31,0.0772,0,0.4717,1
2011-09-01,0.0845,0,0.4697,1
2011-09-02,0.0301,0,0.4768,1
2011-09-05,-0.0376,0,0.3894,1
2011-09-06,-0.1715,-1,0.3734,1
2011-09-07,-0.2205,-1,0.4191,1
2011-09-08,-0.3431,-1,0.4182,1
2011-09-09,-0.4206,-1,0.4655,1
2011-09-13,-0.6068,-1,0.4447,1
2011-09-14,-0.6202,-1,0.46,1
2011-09-15,-0.6176,-1,0.4475,1
2011-09-16,-0.6084,-1,0.4162,1
2011-09-19,-0.6627,-1,0.3421,1
2011-09-20,-0.5918,-1,0.2472,1
2011-09-21,-0.5041,-1,0.2978,1
2011-09-22,-0.6003,-1,0.2955,1
2011-09-23,-0.4985,-1,0.2637,1
2011-09-26,-0.5498,-1,0.2159,1
2011-09-27,-0.6079,-1,0.1698,1
2011-09-28,-0.5338,-1,0.1122,1
2011-09-29,-0.6392,-1,-0.0491,0
2011-09-30,-0.6385,-1,-0.113,0
2011-10-10,-0.6266,-1,-0.0921,0
2011-10-11,-0.6296,-1,-0.1746,-1
2011-10-12,-0.5468,-1,-0.102,-1
2011-10-13,-0.4998,-1,-0.1285,-1
2011-10-14,-0.4962,-1,-0.2102,-1
2011-10-17,-0.3442,-1,-0.2346,-1
2011-10-18,-0.2105,-1,-0.2976,-1
2011-10-19,-0.3482,-1,-0.31,-1
2011-10-20,-0.4494,-1,-0.3894,-1
2011-10-21,-0.6684,-1,-0.4768,-1
2011-10-24,-0.6828,-1,-0.534,-1
2011-10-25,-0.5602,-1,-0.4223,-1
2011-10-26,-0.5958,-1,-0.4245,-1
2011-10-27,-0.6743,-1,-0.5675,-1
2011-10-28,-0.5733,-1,-0.5478,-1
2011-10-31,-0.4105,-1,-0.4145,-1
2011-11-01,-0.4382,-1,-0.4233,-1
2011-11-02,-0.2555,-1,-0.3398,-1
2011-11-03,0.1209,0,-0.3039,-1
2011-11-04,0.0982,0,-0.3115,-1
2011-11-07,0.1387,0,-0.3116,-1
2011-11-08,0.0327,0,-0.4027,-1
2011-11-09,0.269,0,-0.2919,-1
2011-11-10,0.3036,0,-0.2671,-1
2011-11-11,0.3176,0,-0.3322,-1
2011-11-14,0.2814,0,-0.3083,-1
2011-11-15,0.3699,1,-0.3258,-1
2011-11-16,0.4782,1,-0.3511,-1
2011-11-17,0.5994,1,-0.3289,-1
2011-11-18,0.647,1,-0.4521,-1
2011-11-21,0.6873,1,-0.4828,-1
2011-11-22,0.4894,1,-0.4748,-1
