date,factor_value,position_中证1000,position_中证500,position_沪深300,position_common
2014-01-02,0.0,0,0,0,0
2014-01-03,0.0,0,0,0,0
2014-01-06,0.0,0,0,0,0
2014-01-07,0.0,0,0,0,0
2014-01-08,0.0,0,0,0,0
2014-01-09,0.0,0,0,0,0
2014-01-10,0.0,0,0,0,0
2014-01-13,0.0,0,0,0,0
2014-01-14,0.0,0,0,0,0
2014-01-15,0.0,0,0,0,0
2014-01-16,0.0,0,0,0,0
2014-01-17,0.0,0,0,0,0
2014-01-20,0.0,0,0,0,0
2014-01-21,0.0,0,0,0,0
2014-01-22,0.0,0,0,0,0
2014-01-23,0.0,0,0,0,0
2014-01-24,0.0,0,0,0,0
2014-01-27,0.0,0,0,0,0
2014-01-28,0.0,0,0,0,0
2014-01-29,0.0886,0,0,0,0
2014-01-30,-0.1864,0,0,0,0
2014-02-07,-0.1801,0,0,0,0
2014-02-10,-0.1192,0,0,0,0
2014-02-11,-0.077,0,0,0,0
2014-02-12,0.0068,0,0,0,0
2014-02-13,-0.2183,0,0,0,0
2014-02-14,-0.2078,0,0,0,0
2014-02-17,-0.1657,0,0,0,0
2014-02-18,0.0036,0,0,0,0
2014-02-19,-0.2795,0,0,0,0
2014-02-20,-0.197,0,0,0,0
2014-02-21,-0.1175,0,0,0,0
2014-02-24,-0.0765,0,0,0,0
2014-02-25,-0.1656,0,0,0,0
2014-02-26,-0.01,0,0,0,0
2014-02-27,-0.34,0,0,0,0
2014-02-28,-0.4177,0,0,0,0
2014-03-03,-0.459,0,0,0,0
2014-03-04,-0.3768,0,0,0,0
2014-03-05,-0.3266,0,0,0,0
2014-03-06,0.0854,0,0,0,0
2014-03-07,0.151,0,0,0,0
2014-03-10,0.2524,0,0,0,0
2014-03-11,0.5611,0,0,0,0
2014-03-12,0.5706,0,0,0,0
2014-03-13,0.727,0,1,1,1
2014-03-14,0.6314,0,1,1,1
2014-03-17,0.5055,0,1,1,1
2014-03-18,0.3131,0,1,1,1
2014-03-19,-0.1219,0,1,1,1
2014-03-20,-0.4416,0,1,1,1
2014-03-21,-0.6328,0,1,1,1
2014-03-24,-0.7315,-1,-1,0,-1
2014-03-25,-0.6661,-1,-1,0,-1
2014-03-26,-0.3512,-1,-1,0,-1
2014-03-27,-0.3046,-1,-1,0,-1
2014-03-28,-0.2986,-1,-1,0,-1
2014-03-31,0.067,-1,-1,0,-1
2014-04-01,0.1686,-1,-1,0,-1
2014-04-02,-0.1625,-1,-1,0,-1
2014-04-03,0.0508,-1,-1,0,-1
2014-04-04,0.2647,-1,-1,0,-1
2014-04-08,0.187,-1,-1,0,-1
2014-04-09,0.1841,-1,-1,0,-1
2014-04-10,0.1832,-1,-1,0,-1
2014-04-11,0.2021,-1,-1,0,-1
2014-04-14,0.2875,-1,-1,0,-1
2014-04-15,0.3909,-1,-1,0,-1
2014-04-16,0.2638,-1,-1,0,-1
2014-04-17,0.4933,0,0,0,0
2014-04-18,0.448,0,0,0,0
2014-04-21,0.3787,0,0,0,0
2014-04-22,0.09,0,0,0,0
