date,factor_20,signal_20,factor_60,signal_60
2010-06-01,-0.3981,0,0.3015,0
2010-06-02,-0.1437,0,0.1363,0
2010-06-03,0.0763,0,-0.0997,0
2010-06-04,0.1164,0,-0.1255,0
2010-06-07,0.0011,0,-0.3036,0
2010-06-08,0.0056,0,-0.3187,0
2010-06-09,0.1688,0,-0.1129,0
2010-06-10,-0.1124,0,-0.2764,0
2010-06-11,0.2652,0,-0.3126,0
2010-06-17,0.7517,1,-0.4191,0
2010-06-18,0.5021,1,-0.6883,-1
2010-06-21,0.4732,1,-0.5858,-1
2010-06-22,0.4425,1,-0.5826,-1
2010-06-23,0.0415,0,-0.5894,-1
2010-06-24,-0.1365,0,-0.5759,-1
2010-06-25,-0.198,0,-0.6169,-1
2010-06-28,-0.3668,0,-0.7547,-1
2010-06-29,-0.6662,-1,-0.8859,-1
2010-06-30,-0.8264,-1,-0.9033,-1
2010-07-01,-0.4993,-1,-0.9038,-1
2010-07-02,-0.4209,-1,-0.8582,-1
2010-07-05,-0.5705,-1,-0.8392,-1
2010-07-06,-0.4665,-1,-0.7853,-1
2010-07-07,-0.4112,-1,-0.704,-1
2010-07-08,-0.2254,0,-0.6498,-1
2010-07-09,-0.0912,0,-0.5322,-1
2010-07-12,-0.0746,0,-0.5176,-1
2010-07-13,0.0319,0,-0.5066,-1
2010-07-14,-0.0676,0,-0.5399,-1
2010-07-15,-0.3973,0,-0.5038,-1
2010-07-16,-0.5028,-1,-0.2926,0
2010-07-19,-0.3635,0,-0.0913,0
2010-07-20,-0.0954,0,-0.0162,0
2010-07-21,-0.0275,0,0.0128,0
2010-07-22,0.098,0,0.0513,0
2010-07-23,0.3559,0,0.0728,0
2010-07-26,0.4357,0,0.0879,0
2010-07-27,0.6039,1,-0.0254,0
2010-07-28,0.8632,1,0.0832,0
2010-07-29,0.8958,1,0.1103,0
2010-07-30,0.9082,1,0.3069,0
2010-08-02,0.9117,1,0.3206,0
2010-08-03,0.8755,1,0.3537,0
2010-08-04,0.8669,1,0.3845,0
2010-08-05,0.6843,1,0.3101,0
2010-08-06,0.6307,1,0.4359,0
2010-08-09,0.5257,1,0.4657,1
2010-08-10,0.5572,1,0.3874,1
2010-08-11,0.3552,0,0.4791,1
2010-08-12,0.4518,1,0.6256,1
2010-08-13,0.5132,1,0.4222,1
2010-08-16,0.3248,0,0.3931,1
2010-08-17,0.2062,0,0.4548,1
2010-08-18,0.3343,0,0.3994,1
2010-08-19,0.4407,0,0.3936,1
2010-08-20,0.3907,0,0.2866,1
2010-08-23,0.427,0,0.3818,1
2010-08-24,0.569,1,0.2465,1
2010-08-25,-0.0632,0,0.1062,1
2010-08-26,-0.3419,0,0.3262,1
2010-08-27,-0.4323,0,0.1984,1
2010-08-30,-0.3583,0,0.1611,1
2010-08-31,-0.2521,0,0.2729,1
2010-09-01,-0.2196,0,0.417,1
2010-09-02,0.351,0,0.5889,1
2010-09-03,0.2068,0,0.6248,1
2010-09-06,0.3077,0,0.5258,1
2010-09-07,0.5284,1,0.5877,1
2010-09-08,0.64,1,0.5611,1
2010-09-09,0.5959,1,0.5027,1
2010-09-10,0.1055,0,0.1337,1
2010-09-13,0.1911,0,0.0706,0
2010-09-14,0.2943,0,0.2391,0
2010-09-15,-0.1072,0,0.2694,0
2010-09-16,-0.2749,0,0.2695,0
2010-09-17,-0.322,0,0.0972,0
2010-09-20,-0.6741,-1,-0.0334,0
2010-09-21,-0.7639,-1,0.1784,0
2010-09-27,-0.2152,0,0.4959,1
2010-09-28,-0.1914,0,0.3518,1
2010-09-29,0.2667,0,0.4158,1
2010-09-30,0.5015,1,0.5504,1
2010-10-08,0.6643,1,0.662,1
2010-10-11,0.7093,1,0.7502,1
2010-10-12,0.7373,1,0.6876,1
2010-10-13,0.7289,1,0.8523,1
2010-10-14,0.7376,1,0.8577,1
2010-10-15,0.7356,1,0.912,1
2010-10-18,0.422,1,0.7983,1
2010-10-19,0.671,1,0.8887,1
2010-10-20,0.7141,1,0.9235,1
2010-10-21,0.7116,1,0.8788,1
2010-10-22,0.7103,1,0.851,1
2010-10-25,0.7582,1,0.932,1
2010-10-26,0.7748,1,0.906,1
2010-10-27,0.7609,1,0.8408,1
2010-10-28,0.8221,1,0.8883,1
2010-10-29,0.9003,1,0.8607,1
2010-11-01,0.8894,1,0.8241,1
