date,factor_20
2010-04-02,0.8397
2010-04-06,0.79
2010-04-07,0.7199
2010-04-08,0.6042
2010-04-09,0.538
2010-04-12,0.376
2010-04-13,0.5397
2010-04-14,0.4396
2010-04-15,0.4351
2010-04-16,0.2653
2010-04-19,-0.2004
2010-04-20,-0.2375
2010-04-21,-0.2034
2010-04-22,-0.1976
2010-04-23,-0.2212
2010-04-26,-0.1952
2010-04-27,-0.2386
2010-04-28,-0.2938
2010-04-29,-0.4663
2010-04-30,-0.6615
2010-05-04,-0.6957
2010-05-05,-0.645
2010-05-06,-0.6623
2010-05-07,-0.6556
2010-05-10,-0.8565
2010-05-11,-0.8151
2010-05-12,-0.777
2010-05-13,-0.7115
2010-05-14,-0.7872
2010-05-17,-0.7821
2010-05-18,-0.4497
2010-05-19,-0.3433
2010-05-20,-0.3125
2010-05-21,-0.1364
2010-05-24,-0.1036
2010-05-25,-0.1502
2010-05-26,-0.0466
2010-05-27,-0.0111
2010-05-28,-0.0743
2010-05-31,-0.4021
2010-06-01,-0.218
2010-06-02,-0.0539
2010-06-03,0.1069
2010-06-04,0.1252
2010-06-07,0.1029
2010-06-08,0.1397
2010-06-09,0.2664
2010-06-10,-0.0098
2010-06-11,0.2879
2010-06-17,0.6396
2010-06-18,0.3597
2010-06-21,0.3522
2010-06-22,0.3338
2010-06-23,0.0034
2010-06-24,-0.1326
2010-06-25,-0.189
2010-06-28,-0.2945
2010-06-29,-0.5249
2010-06-30,-0.6261
2010-07-01,-0.3898
2010-07-02,-0.3308
2010-07-05,-0.4307
2010-07-06,-0.357
2010-07-07,-0.3368
2010-07-08,-0.1428
2010-07-09,-0.0408
2010-07-12,-0.0534
2010-07-13,0.0402
2010-07-14,-0.0308
2010-07-15,-0.2518
2010-07-16,-0.3892
2010-07-19,-0.3443
2010-07-20,-0.157
2010-07-21,-0.2052
2010-07-22,-0.093
2010-07-23,0.1773
2010-07-26,0.1976
2010-07-27,0.4051
2010-07-28,0.7119
2010-07-29,0.7219
2010-07-30,0.7142
2010-08-02,0.7361
2010-08-03,0.6886
2010-08-04,0.6614
2010-08-05,0.4171
2010-08-06,0.3765
2010-08-09,0.3077
2010-08-10,0.3318
2010-08-11,0.201
2010-08-12,0.2743
2010-08-13,0.312
2010-08-16,0.1753
2010-08-17,0.1001
2010-08-18,0.2207
2010-08-19,0.2711
2010-08-20,0.2083
2010-08-23,0.2609
2010-08-24,0.3511
2010-08-25,-0.0989
2010-08-26,-0.2949
2010-08-27,-0.3674
2010-08-30,-0.2994
2010-08-31,-0.2095
2010-09-01,-0.1866
2010-09-02,0.2423
2010-09-03,0.1392
2010-09-06,0.2466
2010-09-07,0.3454
2010-09-08,0.3817
2010-09-09,0.3503
2010-09-10,0.0245
2010-09-13,0.0994
2010-09-14,0.1612
2010-09-15,-0.1184
2010-09-16,-0.2255
2010-09-17,-0.2377
2010-09-20,-0.5428
2010-09-21,-0.6301
2010-09-27,-0.1483
2010-09-28,-0.1214
2010-09-29,0.228
2010-09-30,0.4824
2010-10-08,0.5646
2010-10-11,0.5717
2010-10-12,0.5918
2010-10-13,0.5904
2010-10-14,0.5984
2010-10-15,0.597
2010-10-18,0.3172
2010-10-19,0.5398
2010-10-20,0.5804
2010-10-21,0.577
2010-10-22,0.5771
2010-10-25,0.6363
2010-10-26,0.6641
2010-10-27,0.6449
2010-10-28,0.7357
2010-10-29,0.8424
2010-11-01,0.8243
2010-11-02,0.7293
2010-11-03,0.6583
2010-11-04,0.7088
2010-11-05,0.6298
2010-11-08,0.5129
2010-11-09,0.2058
2010-11-10,-0.0678
2010-11-11,-0.2041
2010-11-12,-0.4838
