date,pair_01_factor_5,pair_02_factor_5,pair_03_factor_5,pair_04_factor_5,raw_signal_5,factor_value_raw,factor_value
2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-29,0.307,0.0886,0.0043,-0.0933,0.0767,0.0767,0.0767
2014-01-30,-0.0992,-0.1969,-0.3595,-0.1488,-0.2011,-0.2011,-0.2011
2014-02-07,-0.115,-0.051,-0.3914,-0.2774,-0.2087,-0.2087,-0.2087
2014-02-10,0.0776,-0.5415,-0.5206,0.2558,-0.1822,-0.1822,-0.1822
2014-02-11,0.2022,-0.2307,-0.5397,-0.0667,-0.1587,-0.1587,-0.1587
2014-02-12,0.4376,-0.3147,-0.6387,-0.1429,-0.1647,-0.1647,-0.1647
