date,factor_20,signal_20,factor_60,signal_60
2011-04-18,0.1528,1,-0.0217,0
2011-04-19,-0.0543,0,0.0074,0
2011-04-20,-0.2661,0,-0.0131,0
2011-04-21,-0.2346,0,0.0577,0
2011-04-22,-0.3438,0,-0.0447,0
2011-04-25,-0.5351,-1,-0.006,0
2011-04-26,-0.5839,-1,0.0136,0
2011-04-27,-0.7111,-1,0.0271,0
2011-04-28,-0.6933,-1,0.0699,0
2011-04-29,-0.7282,-1,-0.0178,0
2011-05-03,-0.7337,-1,-0.1002,0
2011-05-04,-0.8795,-1,-0.2416,0
2011-05-05,-0.9232,-1,-0.2783,0
2011-05-06,-0.9394,-1,-0.3952,0
2011-05-09,-0.9331,-1,-0.3198,0
2011-05-10,-0.9086,-1,-0.3024,0
2011-05-11,-0.8675,-1,-0.3103,0
2011-05-12,-0.9112,-1,-0.5384,-1
2011-05-13,-0.875,-1,-0.4333,-1
2011-05-16,-0.8825,-1,-0.4804,-1
2011-05-17,-0.864,-1,-0.471,-1
2011-05-18,-0.8304,-1,-0.4668,-1
2011-05-19,-0.7763,-1,-0.4718,-1
2011-05-20,-0.7866,-1,-0.4427,-1
2011-05-23,-0.7426,-1,-0.4581,-1
2011-05-24,-0.5906,-1,-0.442,-1
2011-05-25,-0.6149,-1,-0.4399,-1
2011-05-26,-0.4875,-1,-0.4316,-1
2011-05-27,-0.4487,-1,-0.3968,0
2011-05-30,-0.5087,-1,-0.4276,0
2011-05-31,-0.3617,0,-0.4091,0
2011-06-01,-0.1078,0,-0.4647,0
2011-06-02,-0.0067,0,-0.5565,-1
2011-06-03,0.1135,0,-0.5735,-1
2011-06-07,0.1128,0,-0.5664,-1
2011-06-08,0.0104,0,-0.4903,-1
2011-06-09,0.0156,0,-0.4662,-1
2011-06-10,0.2535,1,-0.423,-1
2011-06-13,0.2637,1,-0.3761,0
2011-06-14,0.3201,1,-0.394,0
2011-06-15,0.1939,1,-0.3621,0
2011-06-16,0.2401,1,-0.3856,0
2011-06-17,0.1505,1,-0.4461,0
2011-06-20,0.1491,1,-0.4506,0
2011-06-21,0.2095,1,-0.4484,0
2011-06-22,0.0778,1,-0.4559,0
2011-06-23,0.166,1,-0.4713,0
2011-06-24,0.2552,1,-0.4559,0
2011-06-27,0.3136,1,-0.4447,0
2011-06-28,0.439,1,-0.4633,0
2011-06-29,0.2567,1,-0.5013,-1
2011-06-30,0.3406,1,-0.5693,-1
2011-07-01,0.3467,1,-0.6485,-1
2011-07-04,0.4725,1,-0.5506,-1
2011-07-05,0.4427,1,-0.5246,-1
2011-07-06,0.4232,1,-0.5008,-1
2011-07-07,0.387,1,-0.329,0
2011-07-08,0.4144,1,-0.3526,0
2011-07-11,0.1645,1,-0.4252,0
2011-07-12,-0.0571,0,-0.5805,-1
2011-07-13,0.0677,0,-0.5323,-1
2011-07-14,0.1706,1,-0.4048,-1
2011-07-15,0.2395,1,-0.2814,0
2011-07-18,0.1195,1,-0.3338,0
2011-07-19,0.0828,1,-0.2534,0
2011-07-20,0.0708,1,-0.1814,0
2011-07-21,-0.1585,0,-0.3224,0
2011-07-22,-0.2697,0,-0.2206,0
2011-07-25,-0.4244,0,-0.3013,0
2011-07-26,-0.3278,0,-0.0833,0
2011-07-27,-0.2316,0,-0.0214,0
2011-07-28,-0.2948,0,0.1427,0
2011-07-29,-0.3266,0,0.1839,0
2011-08-01,-0.4003,0,0.2767,0
2011-08-02,-0.425,0,0.2436,0
2011-08-03,-0.3972,0,0.2018,0
2011-08-04,-0.3977,0,0.1923,0
2011-08-05,-0.4948,0,0.2642,0
2011-08-08,-0.5063,-1,0.115,0
