date,equal_weight_signal,equal_weight_signal_raw,equal_weight_position,hybrid20_signal,hybrid20_factor,hybrid20_position,citic40d_signal,citic40d_position
2010-04-02,,,,,,,0.8397,1
2010-04-06,,,,,,,0.7900,1
2010-04-07,,,,,,,0.7199,1
2010-04-08,,,,,,,0.6042,1
2010-04-09,,,,,,,0.5380,1
2010-04-12,,,,,,,0.3760,1
2010-04-13,,,,,,,0.5397,1
2010-04-14,,,,,,,0.4396,1
2010-04-15,,,,,,,0.4351,1
2010-04-16,,,,,,,0.2653,1
2010-04-19,,,,,,,-0.2004,0
2010-04-20,,,,,,,-0.2375,0
2010-04-21,,,,,,,-0.2034,0
2010-04-22,,,,,,,-0.1976,0
2010-04-23,,,,,,,-0.2212,0
2010-04-26,,,,,,,-0.1952,0
2010-04-27,,,,,,,-0.2386,0
2010-04-28,,,,,,,-0.2938,0
2010-04-29,,,,,,,-0.4663,0
2010-04-30,,,,,,,-0.6615,0
2010-05-04,,,,,,,-0.6957,0
2010-05-05,,,,,,,-0.6450,0
2010-05-06,,,,,,,-0.6623,0
2010-05-07,,,,,,,-0.6556,0
2010-05-10,,,,,,,-0.8565,0
2010-05-11,,,,,,,-0.8151,0
2010-05-12,,,,,,,-0.7770,0
2010-05-13,,,,,,,-0.7115,0
2010-05-14,,,,,,,-0.7872,0
2010-05-17,,,,,,,-0.7821,0
2010-05-18,,,,,,,-0.4497,0
2010-05-19,,,,,,,-0.3433,0
2010-05-20,,,,,,,-0.3125,0
2010-05-21,,,,,,,-0.1364,0
2010-05-24,,,,,,,-0.1036,0
2010-05-25,,,,,,,-0.1502,0
2010-05-26,,,,,,,-0.0466,0
2010-05-27,,,,,,,-0.0111,0
2010-05-28,,,,,,,-0.0743,0
2010-05-31,,,,,,,-0.4021,0
2010-06-01,,,,,,,-0.2180,0
2010-06-02,,,,,,,-0.0539,0
2010-06-03,,,,,,,0.1069,1
2010-06-04,,,,,,,0.1252,1
2010-06-07,,,,,,,0.1029,1
2010-06-08,,,,,,,0.1397,1
2010-06-09,,,,,,,0.2664,1
2010-06-10,,,,,,,-0.0098,0
2010-06-11,,,,,,,0.2879,1
2010-06-17,,,,,,,0.6396,1
2010-06-18,,,,,,,0.3597,1
2010-06-21,,,,,,,0.3522,1
2010-06-22,,,,,,,0.3338,1
2010-06-23,,,,,,,0.0034,1
2010-06-24,,,,,,,-0.1326,0
2010-06-25,,,,,,,-0.1890,0
2010-06-28,,,,,,,-0.2945,0
2010-06-29,,,,,,,-0.5249,0
2010-06-30,,,,,,,-0.6261,0
2010-07-01,,,,,,,-0.3898,0
2010-07-02,,,,,,,-0.3308,0
2010-07-05,,,,,,,-0.4307,0
2010-07-06,,,,,,,-0.3570,0
2010-07-07,,,,,,,-0.3368,0
2010-07-08,,,,,,,-0.1428,0
2010-07-09,,,,,,,-0.0408,0
2010-07-12,,,,,,,-0.0534,0
2010-07-13,,,,,,,0.0402,1
2010-07-14,,,,,,,-0.0308,0
2010-07-15,,,,,,,-0.2518,0
2010-07-16,,,,,,,-0.3892,0
2010-07-19,,,,,,,-0.3443,0
2010-07-20,,,,,,,-0.1570,0
2010-07-21,,,,,,,-0.2052,0
2010-07-22,,,,,,,-0.0930,0
2010-07-23,,,,,,,0.1773,1
2010-07-26,,,,,,,0.1976,1
2010-07-27,,,,,,,0.4051,1
2010-07-28,,,,,,,0.7119,1
2010-07-29,,,,,,,0.7219,1
2010-07-30,,,,,,,0.7142,1
2010-08-02,,,,,,,0.7361,1
2010-08-03,,,,,,,0.6886,1
2010-08-04,,,,,,,0.6614,1
2010-08-05,,,,,,,0.4171,1
2010-08-06,,,,,,,0.3765,1
2010-08-09,,,,,,,0.3077,1
2010-08-10,,,,,,,0.3318,1
2010-08-11,,,,,,,0.2010,1
2010-08-12,,,,,,,0.2743,1
2010-08-13,,,,,,,0.3120,1
2010-08-16,,,,,,,0.1753,1
2010-08-17,,,,,,,0.1001,1
2010-08-18,,,,,,,0.2207,1
2010-08-19,,,,,,,0.2711,1
2010-08-20,,,,,,,0.2083,1
2010-08-23,,,,,,,0.2609,1
2010-08-24,,,,,,,0.3511,1
2010-08-25,,,,,,,-0.0989,0
2010-08-26,,,,,,,-0.2949,0
2010-08-27,,,,,,,-0.3674,0
2010-08-30,,,,,,,-0.2994,0
2010-08-31,,,,,,,-0.2095,0
2010-09-01,,,,,,,-0.1866,0
2010-09-02,,,,,,,0.2423,1
2010-09-03,,,,,,,0.1392,1
2010-09-06,,,,,,,0.2466,1
2010-09-07,,,,,,,0.3454,1
2010-09-08,,,,,,,0.3817,1
2010-09-09,,,,,,,0.3503,1
2010-09-10,,,,,,,0.0245,1
2010-09-13,,,,,,,0.0994,1
2010-09-14,,,,,,,0.1612,1
2010-09-15,,,,,,,-0.1184,0
2010-09-16,,,,,,,-0.2255,0
2010-09-17,,,,,,,-0.2377,0
